#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6064.202755109457    All      1.1059846217494387         0.03283901416262225        0.22051533588248617       -0.3397182431827087        
Zeropoint     AB|PS|PS_g                4775.218051310828    All      -1.090484217817607         1.2130254475721358         -0.17188423086287083      0.7426584774467523         
Zeropoint     AB|PS|PS_i                7345.062901465199    All      0.5956715686466574         -0.1678490868492588        -0.2729005937990169       -0.2608820966926324        
Zeropoint     AB|PS|PS_z                8441.269519263362    All      0.38708770365369766        -0.07856166475272985       0.2264233622104347        -0.1415730839685987        
Check         All|All|All               All                  All      0.9982596762321867         0.9994537101327694         0.002153873431033154      0.00048505360281247967     
Lambda        AB|PS|PS_r                6064.202755109457    All      -0.00014188855438412024    -3.023561447510304e-05     -0.0004187659611959209    1.7681434275301642e-05     
Lambda        AB|PS|PS_g                4775.218051310828    All      -0.00039331957079638416    9.161463799707067e-05      -0.0011157545104723697    0.00010816802633835184     
Lambda        AB|PS|PS_i                7345.062901465199    All      -5.039680581348202e-05     -0.00011534990389899595    -0.0011052954692613304    -7.048162129456555e-05     
Lambda        AB|PS|PS_z                8441.269519263362    All      0.00036262747021505523     -9.346073051268445e-05     5.523239658816762e-05     -0.00014609816364663216    
MWEBV         All|All|All               All                  All      -0.675607764591792         -4.051349067715471         0.0005356868520019036     -1.0995660957736009        
Redshift      All|All|All               All                  All      4.9074901076259625         1.0542957372365436         2.8228645425496217        -1.1291406931791925        
