#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4393.6659672925725    All      -2.6819370583660413       1.0380443136218886         -0.08233143274289922      1.208046242899724         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5261.419340087078     All      3.6793909604951027        -0.03500784125467504       0.0865995093408678        -1.2060373514560518       
Check         All|All|All                            All                   All      0.9974539021290615        1.0030364723672136         0.004268076597968573      0.0020088914436722227     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4393.6659672925725    All      -0.0016836521615397975    0.00027699352391639004     -0.002783527560338768     0.0005144307523419467     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5261.419340087078     All      0.001485579820960133      -0.00010092886013902617    -0.00137157649559925      -0.0005779852315948718    
MWEBV         All|All|All                            All                   All      -0.09664017832099248      -2.364512740557423         -0.0011013014753036288    -0.7387698503382889       
Redshift      All|All|All                            All                   All      -0.12522517390509935      -0.9052719317109492        -3.5095466166403355       -0.4107018385295036       
