#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4393.6659672925725    All      -2.6233498651195895       0.9485228196533413         -0.47311974738470125       1.1423632831860675         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5261.419340087078     All      3.619845000621008         0.05335129333357003        0.47051990117643344        -1.1407271924515527        
Check         All|All|All                            All                   All      0.9964951355014183        1.0018741129869113         -0.0025998462082678087     0.0016360907345147613      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4393.6659672925725    All      -0.0007642880818339117    -2.6721234129348813e-05    -0.002254135792500676      0.00013965805997784048     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5261.419340087078     All      0.0014069318690811152     -1.3916261576025426e-05    -0.00048437588165427037    -0.00048443245161035043    
MWEBV         All|All|All                            All                   All      -0.09566888680663421      -2.365226016288524         -0.002895576182375648      -0.7393986395501223        
Redshift      All|All|All                            All                   All      1.0275531106178513        -0.39399870623970656       -1.262016891839059         -0.5193642120649866        
