#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4351.034487772485     All      -0.8443640315081173       0.5488778641639214         -0.20724823879185172      0.44457618467672805       
Zeropoint     AB|CNIa02|SDSS_i                      7442.847734060634     All      0.706295638704191         -0.19154480412183483       0.2354590232332643        -0.28194871551891487      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5443.373056295023     All      0.4788339543004855        1.1550884834704456         1.355441642742844         0.28076548346114977       
Zeropoint     AB|CNIa02|SDSS_r                      6137.5463919199465    All      0.5679652989130282        -0.43686020318415286       -1.3302879051334093       -0.3866693632249049       
Check         All|All|All                           All                   All      0.9087308604095872        1.0755613403283792         0.053364522050847185      0.05672358939405803       
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4351.034487772485     All      -0.0005270232359392335    0.0006474491397578342      0.0004437648516906481     0.00040236747895071225    
Lambda        AB|CNIa02|SDSS_i                      7442.847734060634     All      0.00038835647888776475    -2.6455947844901843e-05    0.00030757342865246276    -0.000121392464823218     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5443.373056295023     All      0.0004791958525530174     0.0008223679592109602      0.0015027283316772627     0.00017884230882662144    
Lambda        AB|CNIa02|SDSS_r                      6137.5463919199465    All      -0.000348615950794257     -5.194833092314263e-05     -0.0005799378405120339    7.075444160292043e-05     
MWEBV         All|All|All                           All                   All      -0.8924575345126868       -4.031538112586697         0.07443293087256997       -1.0191802171154618       
Redshift      All|All|All                           All                   All      4.262635515952655         -5.694027289905312         -11.473273784557003       -3.7552121545088855       
