#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4351.034487772485 All -0.45526218712486854 0.3708489219278852 -0.13373047032027477 0.26312378977813555
Zeropoint AB|CNIa02|SDSS_i 7442.847734060634 All 0.5952922927691754 -0.1258776567243296 0.41868809411290286 -0.21622465166124993
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5443.373056295023 All 1.1826421717796873 1.8578722038109423 8.921849507102646 0.618085802770136
Zeropoint AB|CNIa02|SDSS_r 6137.5463919199465 All 0.22570936944733 -0.5481005953494473 -2.6547874358533337 -0.3705263333904508
Check All|All|All All All 1.548381646871324 1.5547428736650506 6.552019695041941 0.2944586074965708
