#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8319.244983099317    All      0.2961447798770228         -0.086721081633101         -0.11512651866087356      -0.12984957477741482       
Zeropoint     AB|PS|PS_i                7238.884809224253    All      0.6607590483779396         -0.1054669978771905        0.5641970735314307        -0.22440750722518701       
Zeropoint     AB|PS|PS_g                4706.188888521553    All      -1.1289777042191371        1.1526270306480235         -0.019298024900058424     0.7423325424937631         
Zeropoint     AB|PS|PS_r                5976.540404475079    All      1.1720973915269024         0.03840989852230692        -0.4231889474617095       -0.3881642927709608        
Check         All|All|All               All                  All      1.0000235155627277         0.998848849660039          0.00658358250878921       -8.883227979955555e-05     
Lambda        AB|PS|PS_z                8319.244983099317    All      0.00023737004297989594     -6.997379152012486e-05     -3.374765265216235e-05    -0.00010161800094897949    
Lambda        AB|PS|PS_i                7238.884809224253    All      -0.00027124185818284225    -5.4966175621609075e-05    -0.001378126155741718     8.948664242546518e-06      
Lambda        AB|PS|PS_g                4706.188888521553    All      -0.00021677935314653096    -1.7732547108049026e-05    -0.0008025277647859176    2.9022964906453164e-05     
Lambda        AB|PS|PS_r                5976.540404475079    All      -0.0002425436306659283     -7.176703658510251e-05     -0.0010925270520137688    6.873090539068227e-06      
MWEBV         All|All|All               All                  All      -0.6905785756016369        -3.969167684694863         0.0022299149246867026     -1.06784482434806          
Redshift      All|All|All               All                  All      6.79452603249727           0.9997476712052311         13.821664745208675        -1.2707525378496582        
