#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                8319.244983099317    All      0.3163016326202041         -0.09858322695022181       -0.22633736084312073      -0.1452420449530728       
Zeropoint     AB|PS|PS_i                7238.884809224253    All      0.6239523873156396         -0.10643115344839416       0.3590514776373732        -0.22188712974844094      
Zeropoint     AB|PS|PS_g                4706.188888521553    All      -1.120105110653554         1.1404792400258934         0.11090474148303109       0.7412958632777272        
Zeropoint     AB|PS|PS_r                5976.540404475079    All      1.183998147194592          0.05939294113845861        -0.2445573635494247       -0.377234385948666        
Check         All|All|All               All                  All      1.0041470564768817         0.994857800765736          -0.0009385052721411213    -0.0030676973724524936    
Lambda        AB|PS|PS_z                8319.244983099317    All      0.0001946941509109555      -4.408898995387233e-05     8.350371177958199e-05     -7.405313757362382e-05    
Lambda        AB|PS|PS_i                7238.884809224253    All      -0.00023548433601153194    -5.28372864026912e-05      -0.0011508995353007563    8.134792596950198e-06     
Lambda        AB|PS|PS_g                4706.188888521553    All      -0.00011411155588240428    -0.00016070898305956595    -0.0008391544985496928    -5.262592621448521e-05    
Lambda        AB|PS|PS_r                5976.540404475079    All      -0.0003357100407380254     -9.2999853658144e-05       -0.0013300714080569792    1.9703714715333955e-05    
MWEBV         All|All|All               All                  All      -0.6851483534786409        -3.965581408624619         0.029306012793095526      -1.067237176349617        
Redshift      All|All|All               All                  All      7.0740607260199395         1.5982444319706524         15.002621479139277        -1.1141554239111422       
