#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_r          5229.2206705661365    All      0.18008622744959704        0.42308659797924975        -0.7425166833404218        0.04601810583453256        
Zeropoint     AB|DECam|DECam_i          6352.8499725315105    All      0.9747730154615871         0.014943492634600375       -0.08700584875538375       -0.31653072446464964       
Zeropoint     AB|DECam|DECam_g          3934.4833567665596    All      -0.6593482060288745        0.5717491062165792         0.27148387603077584        0.41312397500380127        
Zeropoint     AB|DECam|DECam_z          7444.6058261051185    All      0.5005864053360687         -0.010870500978299447      0.5616241895795682         -0.14153563268467992       
Check         All|All|All               All                   All      0.9960974422183786         0.9989086958521298         0.003585533514538497       0.0010757236890042432      
Lambda        AB|DECam|DECam_r          5229.2206705661365    All      -0.00011780867869596708    8.258538668355771e-05      -0.001485316170583291      -1.0078990196697293e-06    
Lambda        AB|DECam|DECam_i          6352.8499725315105    All      -0.00012489557888720323    -1.8826283412337607e-05    -0.00034376705295548074    1.9209514403897318e-05     
Lambda        AB|DECam|DECam_g          3934.4833567665596    All      -0.0006428490953831308     0.0005374342406149036      7.211595220969561e-05      0.0003876753164334732      
Lambda        AB|DECam|DECam_z          7444.6058261051185    All      8.223411594778133e-06      -6.1162303272376186e-06    -7.448257251378942e-05     -7.994708259415279e-06     
MWEBV         All|All|All               All                   All      -0.479084737241398         -3.1245060603065866        0.07235805934429074        -0.858471748838769         
Redshift      All|All|All               All                   All      5.15049135104772           0.4005384226836384         0.5930268424553908         -1.5207518732728644        
