#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_r          5229.2206705661365    All      0.19188101396443785       0.4814291147278382         -0.5988373630264868        0.06759198111686374        
Zeropoint     AB|DECam|DECam_i          6352.8499725315105    All      0.9979522539665621        -0.010047741034568958      -0.04600548557666511       -0.3303917741124216        
Zeropoint     AB|DECam|DECam_g          3934.4833567665596    All      -0.6975297385835272       0.5551596794326485         0.19876183024071423        0.41691198330917056        
Zeropoint     AB|DECam|DECam_z          7444.6058261051185    All      0.5032678359597508        -0.02757080655371169       0.44748740794518965        -0.15294230215797117       
Check         All|All|All               All                   All      0.9955713653072238        0.9989702465722061         0.0014063895827520212      0.0011698881556415075      
Lambda        AB|DECam|DECam_r          5229.2206705661365    All      -9.288819374865652e-05    6.325681684701995e-05      -0.0012041737685082048     -2.8751777491685995e-06    
Lambda        AB|DECam|DECam_i          6352.8499725315105    All      -0.0003100625115745908    -2.845001277298175e-05     -0.0005016848421040589     6.934256528773713e-05      
Lambda        AB|DECam|DECam_g          3934.4833567665596    All      -0.0006064477023406483    0.0004327269510130506      -0.00014005173749311885    0.0003322435066179615      
Lambda        AB|DECam|DECam_z          7444.6058261051185    All      -6.44882974899824e-05     -1.5193092490675722e-05    -0.0003087321736752042     2.279771076809026e-06      
MWEBV         All|All|All               All                   All      -0.4865237547278203       -3.12328534816686          0.06917370885960088        -0.8557930929398289        
Redshift      All|All|All               All                   All      4.995995109621436         0.45634825803730905        -1.1582974271803639        -1.5304018238136277        
