#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6238.121267831141     All      1.1910645291232573         -0.029293619768289147     -0.20590084789568536       -0.4066992068577379       
Zeropoint     AB|SDSS|SDSS_z            7416.606186067268     All      0.09179982053841498        0.003104016006894028      0.0845572680309794         -0.02511773902647452      
Zeropoint     AB|SDSS|SDSS_r            5144.100759246327     All      0.741964507166738          0.4717284177631953        0.38680379695025374        -0.07076350788969314      
Zeropoint     AB|SDSS|SDSS_g            3936.7081958615436    All      -1.0275035423148744        0.5529635187794923        -0.2661544829751747        0.5029328654484586        
Check         All|All|All               All                   All      0.9973253145135358         0.9985023327812925        -0.0006942658896268994     0.00035241167455302147    
Lambda        AB|SDSS|SDSS_i            6238.121267831141     All      -0.0001855300443867574     -6.407807419333089e-05    -0.0005704977585483938     1.4102207580552629e-05    
Lambda        AB|SDSS|SDSS_z            7416.606186067268     All      -1.3196845075018061e-05    -1.828815169843585e-06    -2.4041288492543313e-05    2.630089049412392e-06     
Lambda        AB|SDSS|SDSS_r            5144.100759246327     All      0.00022119800400409207     0.00011785473409035023    -0.0008509952199195694     -7.163831108883481e-05    
Lambda        AB|SDSS|SDSS_g            3936.7081958615436    All      -0.001054135894371814      0.0004051340216611084     -0.0011815018153863944     0.0004226072206270314     
MWEBV         All|All|All               All                   All      -0.5711752098928926        -3.2222983796994953       0.07841881024364121        -0.8600585644310176       
Redshift      All|All|All               All                   All      4.757845227641799          0.7078808817459148        0.8779749921135706         -1.2800266358229073       
