#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6238.121267831141     All      1.2385213880543833         -0.06408769025672001      -0.4932207043542469        -0.4463128061262655        
Zeropoint     AB|SDSS|SDSS_z            7416.606186067268     All      0.08383704717022737        0.002208040291584723      0.061172991878166716       -0.023859383384799288      
Zeropoint     AB|SDSS|SDSS_r            5144.100759246327     All      0.7122130590598532         0.4196525465522072        0.17936087848700044        -0.08729253164655604       
Zeropoint     AB|SDSS|SDSS_g            3936.7081958615436    All      -1.0383852448795374        0.6405018215783542        0.2451322895183239         0.5578078795185349         
Check         All|All|All               All                   All      0.9961862494049262         0.9982747181654261        -0.007554544470755875      0.000343158360914142       
Lambda        AB|SDSS|SDSS_i            6238.121267831141     All      -0.00016422175038012323    -8.756268873219912e-05    -0.0008118869848356815     -1.1260408884222884e-05    
Lambda        AB|SDSS|SDSS_z            7416.606186067268     All      -9.130698132693805e-06     3.7516086979270453e-07    -4.985470904451237e-06     2.8738923415559253e-06     
Lambda        AB|SDSS|SDSS_r            5144.100759246327     All      0.0004418338302916242      0.00019773337809358076    -0.00014384318880085708    -8.593060881555728e-05     
Lambda        AB|SDSS|SDSS_g            3936.7081958615436    All      -0.0010975749841099906     0.00043767490285196516    -0.0010189388165412873     0.00045461083683902254     
MWEBV         All|All|All               All                   All      -0.5720101044582586        -3.2254556691162506       0.04941265736038147        -0.8621094562213745        
Redshift      All|All|All               All                   All      4.148791382920358          0.3703161321165993        -2.129719537911501         -1.3258132988591642        
