#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8473.865425004198    All      0.3932704820034788         -0.08291343694795117       0.23912523325061952       -0.14443770749058474       
Zeropoint     AB|PS|PS_i                7373.425812689666    All      0.5351300203317788         -0.14917251035573287       -0.26326613030295154      -0.23464820538730166       
Zeropoint     AB|PS|PS_g                4793.657523849556    All      -1.1086981760602728        1.2327166991360272         -0.15542495532814776      0.7557399531975062         
Zeropoint     AB|PS|PS_r                6087.619633453144    All      1.1793242830342574         -0.0013522414331390564     0.1820685303536993        -0.37646030482375886       
Check         All|All|All               All                  All      0.9990266093092421         0.9992785103992041         0.0025026779732195137     0.00019373549586093608     
Lambda        AB|PS|PS_z                8473.865425004198    All      0.0004525058352000381      -9.431752596291272e-05     0.00032340282152508177    -0.00016368637609577024    
Lambda        AB|PS|PS_i                7373.425812689666    All      -4.766709314288532e-05     -8.255419583635916e-05     -0.0006723949262003198    -4.136977445697643e-05     
Lambda        AB|PS|PS_g                4793.657523849556    All      -0.00032699395863247384    3.544785306441e-05         -0.0011714731790355296    6.57817544524483e-05       
Lambda        AB|PS|PS_r                6087.619633453144    All      -0.00020705404928817345    -2.7089825089933856e-05    -0.0005093149754241133    3.589188031437657e-05      
MWEBV         All|All|All               All                  All      -0.685444125249568         -4.069271140198616         0.019415411365229555      -1.1013573627335542        
Redshift      All|All|All               All                  All      4.847260454504054          1.3014097901204558         3.298168882950702         -1.007818087107281         
