#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8473.865425004198    All      0.4147576126717287         -0.08540778831402918      0.24985589321160212       -0.15177040508656953       
Zeropoint     AB|PS|PS_i                7373.425812689666    All      0.554919615910124          -0.1444944129215031       -0.18763062034426597      -0.23619525205823833       
Zeropoint     AB|PS|PS_g                4793.657523849556    All      -1.1674078473695992        1.2237083500595602        -0.36198129180965155      0.7627116483554519         
Zeropoint     AB|PS|PS_r                6087.619633453144    All      1.1964707629410538         0.005018273148316155      0.2924840982993171        -0.37504305157189943       
Check         All|All|All               All                  All      0.9987401441533073         0.9988244219723441        -0.0072719206429983085    -0.0002970603612553746     
Lambda        AB|PS|PS_z                8473.865425004198    All      0.00044060215108991885     -8.839328635604271e-05    0.00032737802752211726    -0.00015770183963369105    
Lambda        AB|PS|PS_i                7373.425812689666    All      -6.910737063911188e-05     -7.064545119245727e-05    -0.0006180311731193421    -2.8080896179379572e-05    
Lambda        AB|PS|PS_g                4793.657523849556    All      -0.0002668527303935559     -7.471933116747281e-05    -0.0012477509272043024    6.902775960616812e-06      
Lambda        AB|PS|PS_r                6087.619633453144    All      -0.00027194073621085316    -3.965812760137982e-05    -0.00058110110489619      4.9730214084265574e-05     
MWEBV         All|All|All               All                  All      -0.6921157760277628        -4.066269155380198        0.020824423737296482      -1.0981434636157736        
Redshift      All|All|All               All                  All      5.2482293461350675         1.7656723928667795        4.046441929391187         -0.9538092537269366        
