#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8183.607769422068     All      0.29261532873141316        -0.0776287132815412        0.39332395039957113       -0.10304842371603035      
Zeropoint     AB|SDSS|SDSS_r            5676.087132567669     All      -0.07413955697704999       1.0700159209790172         -4.12838329761005         0.18845829517377538       
Zeropoint     AB|SDSS|SDSS_g            4343.829909443146     All      -0.5702526013639044        0.45493058088226235        0.9609175248831203        0.3768172257834379        
Zeropoint     AB|SDSS|SDSS_u            3303.4242191009876    All      0.010733264822938668       0.00039546467007767205     0.69492878377444          0.02764411831408381       
Zeropoint     AB|SDSS|SDSS_i            6883.247727231684     All      1.3146933455177732         -0.41690699640071216       2.07637496599693          -0.47138012103482285      
Check         All|All|All               All                   All      0.9736497807311707         1.0308062568491039         -0.0028380725559884468    0.018491094520443896      
Lambda        AB|SDSS|SDSS_z            8183.607769422068     All      6.398395572649474e-06      2.951237887600514e-05      -9.290750599173837e-06    7.1143812609996245e-06    
Lambda        AB|SDSS|SDSS_r            5676.087132567669     All      -0.0003026243475891001     -1.5353412757935893e-05    -0.001787879860207266     1.3788727681683638e-05    
Lambda        AB|SDSS|SDSS_g            4343.829909443146     All      -0.00045712763504155937    0.00022118376054313207     -2.151922655603028e-05    0.00021998803307704082    
Lambda        AB|SDSS|SDSS_u            3303.4242191009876    All      4.927045970739557e-05      -2.4782485156938164e-05    0.0007723535638222267     1.0345111849938543e-05    
Lambda        AB|SDSS|SDSS_i            6883.247727231684     All      -0.0011306222909730677     0.0004117512855634876      -0.0030483778749203845    0.00036636671259689335    
MWEBV         All|All|All               All                   All      -0.6827835784900316        -3.705867873342328         0.3935920217094102        -0.9671538071264193       
Redshift      All|All|All               All                   All      7.731059056335619          -1.2170830506617492        15.812661305285669        -2.209057820251867        
