#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5558.40537949269     All      3.436930047230147          -0.21579726579119551       0.6709139595897433        -1.159873648390081        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4641.670805864488    All      -2.4394034102572233        1.218278690981478          -0.6705943489355145       1.1615018486757447        
Check         All|All|All                            All                  All      0.9975266369729241         1.0024814251902825         0.00031961065422880797    0.0016282002856637945     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5558.40537949269     All      -0.000118450979281124      -2.3063074803155267e-05    -0.0006897300282569183    2.9149531165176456e-07    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4641.670805864488    All      -0.00044018721331646825    -0.00015687925444572362    -0.002881692311249895     -3.631396995781465e-05    
MWEBV         All|All|All                            All                  All      -0.23434796907098088       -2.564026600803082         -0.016575956842715824     -0.7595926833288448       
Redshift      All|All|All                            All                  All      0.903449043547951          1.6047354498676114         3.6217821893832434        0.39005555904402767       
