#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5558.40537949269     All      3.4533219259000942         -0.20963736740089445       0.7731561284232025         -1.1586439425755732      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4641.670805864488    All      -2.455780309441052         1.2121668514131656         -0.7719422993339775        1.1603228227509652       
Check         All|All|All                            All                  All      0.9975416164590417         1.0025294840122712         0.0012138290892249604      0.0016788801753919724    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5558.40537949269     All      -9.170313678022453e-05     -1.705750910295961e-05     -0.00046291841053483485    3.656614147880303e-06    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4641.670805864488    All      -0.00041295786942072913    -0.00016515896318070267    -0.0027846929529525815     -4.35518007539014e-05    
MWEBV         All|All|All                            All                  All      -0.23391726397528245       -2.5640758734772007        -0.015954150447422544      -0.7597212795157053      
Redshift      All|All|All                            All                  All      0.5099201203836454         1.66298925642554           2.969636612070453          0.5081137954057156       
