#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7351.349552810432     All      0.15295891276441362        -0.03622461426289192       0.35226323507526747       -0.04590340841107293       
Zeropoint     AB|SDSS|SDSS_g            3902.0702069308218    All      -1.095565754775792         0.44485725771821194        -0.2855244055030459       0.4890248107296699         
Zeropoint     AB|SDSS|SDSS_i            6183.233792134878     All      1.1932249600027216         -0.1255897600925593        0.7654327187751608        -0.39542359531696547       
Zeropoint     AB|SDSS|SDSS_r            5098.839262510398     All      0.752231985588773          0.7032696533546101         -0.7908240844470948       -0.05123948918678012       
Check         All|All|All               All                   All      1.0028501035801165         0.9863125367173708         0.04134746390028754       -0.003541682185148609      
Lambda        AB|SDSS|SDSS_z            7351.349552810432     All      -3.339193862687912e-05     1.4109181274175488e-05     -0.0001503111268366008    8.764982255518014e-06      
Lambda        AB|SDSS|SDSS_g            3902.0702069308218    All      -0.0011216854289257635     0.000390253227220277       -0.0006012817764829597    0.0004656557175139658      
Lambda        AB|SDSS|SDSS_i            6183.233792134878     All      -0.00030703412417510073    6.430882073987116e-05      -0.0002457071897599346    0.00010999383059213709     
Lambda        AB|SDSS|SDSS_r            5098.839262510398     All      -0.00017813968621655942    -1.8457052135008902e-05    -0.0022425966270395266    -4.8062900268034086e-05    
MWEBV         All|All|All               All                   All      -0.5709929964373388        -3.181416518520308         0.05403995043183896       -0.8478892667341392        
Redshift      All|All|All               All                   All      8.1508806912669            0.16371237518164605        14.100028550518262        -1.9724639754606685        
