#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_V
@MAGSYS  Linear_AB11_off
52603.09  17.399  0.018
52604.09  17.265  0.027
52605.12  17.117  0.016
52606.09  17.0  0.014
52607.15  16.938  0.012
52608.11  16.868  0.012
52610.1  16.811  0.01
52611.11  16.777  0.013
52613.09  16.824  0.021
52614.11  16.953  0.072
52616.08  16.915  0.013
52617.11  16.971  0.022
52619.09  17.085  0.021
52620.13  17.187  0.027
52631.09  17.906  0.037
52647.1  18.984  0.104
52656.11  19.092  0.19
52660.11  19.215  0.244
