#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5328.121171690738     All      0.1480841256300833         0.12302196753815053       -0.13496979360568548       -0.014186651405834427      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8140.493858896632     All      0.08682316594638213        -0.016260795740663525     0.0670845807080532         -0.030584160954411195      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7864.796377588832     All      0.2698651133133728         -0.04986761850638288      0.17188718718024965        -0.09647693393357053       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4349.608141597856     All      -0.7998241467222134        0.5827341024387422        0.16160342736656294        0.4575563253127605         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6360.5951991631855    All      0.8427862889895228         -0.08513354357067016      0.13098755156113437        -0.2964086442984748        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4375.2971570443115    All      -0.34919212592484417       0.21035342634085907       -0.19808906598690612       0.17342258964999907        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6303.3419747182725    All      0.39188312439666295        -0.0731383461481272       -0.31232264665402204       -0.16541031698253783       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5361.20493384098      All      0.4067174776827501         0.30517782729679865       0.11413369316639155        -0.027981542157053996      
Check         All|All|All                       All                   All      0.9971430233117166         0.9968870196487067        0.00031493373577812234     -6.933476912317563e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5328.121171690738     All      -3.3934018590352996e-05    1.1886696937544103e-05    -0.0007117908462889452     -1.6838641828562995e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8140.493858896632     All      -8.198087558244382e-06     1.5094595833172773e-06    -6.376609768654607e-06     2.877508665555694e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7864.796377588832     All      1.4910387133172837e-05     -6.443775362596026e-07    5.597130731470542e-05      -2.568956210852703e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4349.608141597856     All      -0.00016233842711214336    8.383475751275627e-05     -0.00012506382041351487    7.460568118183977e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6360.5951991631855    All      -0.000276663996532089      1.2587401407391555e-05    -0.0004181975453573872     7.555646065977803e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4375.2971570443115    All      -0.0001263254792283219     4.791409657543037e-05     -0.00026735134422493283    4.482489955861123e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6303.3419747182725    All      -0.00013901568916930613    9.649621182975694e-06     -0.0001454748065464797     4.193331005062349e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5361.20493384098      All      3.504572552694142e-05      2.7732515796624658e-05    -0.0004156415635820586     -2.093032701663153e-05     
MWEBV         All|All|All                       All                   All      -0.8500714377383378        -4.056715739436534        0.05507160871002077        -1.0420519515651216        
Redshift      All|All|All                       All                   All      3.26612436810225           -0.2067170681257835       -3.659257520622276         -1.294514565652536         
