#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5328.121171690738     All      0.056496940802412424       0.09795404271084607        -0.7203935360388547        -0.01864391287585976       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8140.493858896632     All      0.07731738271731636        -0.015504739352145691      0.07026500749129916        -0.027099614346304257      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7864.796377588832     All      0.33331873791811606        -0.06278238883270504       0.29863212332259526        -0.11569658822658813       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4349.608141597856     All      -0.8264276337312387        0.6589312480100418         0.28816493978105484        0.49668973240758474        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6360.5951991631855    All      0.9673287319279631         -0.1072103360630905        0.37870988818422546        -0.33311264277192665       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4375.2971570443115    All      -0.26328674856991774       0.19936555937434264        0.08616975040365293        0.15454643770344           
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6303.3419747182725    All      0.3018820551981941         -0.053669443769432945      -0.13657971383396195       -0.12190974585110093       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5361.20493384098      All      0.34941666309430713        0.27990201300553963        -0.26885132716589766       -0.034640808439900805      
Check         All|All|All                       All                   All      0.9960461293571526         0.9969859550833959         -0.0038828678558866514     0.00013285759934422714     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5328.121171690738     All      -8.025207344047124e-05     4.836239390555995e-05      -0.0013204876508087111     -1.7033335770280863e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8140.493858896632     All      -2.6209440825728054e-06    8.751314956658945e-07      1.3785197193208183e-06     1.2003038370637304e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7864.796377588832     All      3.5873368961105626e-05     -5.9327231948799055e-06    6.150015110277458e-05      -1.0873150311044108e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4349.608141597856     All      -0.0007035397154869597     0.0005080704154492244      -4.9593524855049224e-05    0.0003924481491957793      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6360.5951991631855    All      -9.266951594325777e-06     5.650379295422837e-07      -0.00010787027656363709    -1.6111525620033288e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4375.2971570443115    All      -0.00022962310821969005    0.00016053930032936887     -2.56445206316349e-05      0.0001259443352516368      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6303.3419747182725    All      -9.148804830474123e-06     -6.868142515333834e-06     -0.00011348516053557282    -4.3214347486101594e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5361.20493384098      All      0.00021269339804122747     0.00016504796624173827     -0.0005428373838892439     -3.974402390629173e-05     
MWEBV         All|All|All                       All                   All      -0.8257744495174166        -4.069565809197506         0.07831821516637305        -1.0531145811733866        
Redshift      All|All|All                       All                   All      1.9302318827569849         -2.824371436018147         -1.1946214048452086        -1.6020411893286401        
