#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V           5144.477698772758     All      0.09558867797128284        0.18128195906967903        0.4025353563253731         0.0458764250537369        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3435.355805421051     All      -0.07988371876814274       0.046300712744695716       0.018392007655343434       0.04192317151844316       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7267.823145226177     All      0.5247774377182531         -0.11419849730627263       -0.004030332943649739      -0.20831533896996934      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I           7859.916800803774     All      0.08160227227806578        -0.04083091556967844       0.0182774266654695         -0.03906487960735339      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R           6086.085727360892     All      0.1946414899035273         -0.07028790746632652       0.08670423513454928        -0.08242700884573961      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5944.305062886539     All      1.0360656025019994         0.0705646066331056         -0.11906007296256238       -0.31980854262695924      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4592.1360378891995    All      -0.43643840220168206       0.2560539197400402         -0.4360963770616566        0.2061065531870604        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4203.688633195083     All      -0.42805382922170576       0.09858084988714211        -0.06651383747862116       0.16857403367240287       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5135.143919498679     All      0.20436559213120528        0.4490416965498234         -0.12240613479397311       0.07423663320906965       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B           4224.494512157613     All      -0.1923925238374645        0.11197745493980449        0.21824835308987822        0.10888273718260011       
Check         All|All|All                              All                   All      1.0002725984753387         0.988483879222013          -0.003949376369849489      -0.004016216226708502     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V           5144.477698772758     All      5.923247867264151e-05      7.523252835883772e-05      0.00017053516871663296     1.2821943908916916e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3435.355805421051     All      -0.00013753848288208356    6.773752791887613e-05      2.2956348104534363e-05     6.788958647924459e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7267.823145226177     All      -4.841889558612972e-06     -9.271257408735882e-05     -0.000308471406886817      -4.238803494209765e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I           7859.916800803774     All      -6.6234852032745784e-06    4.642118368705502e-06      -6.183878378623041e-06     3.393619620230855e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R           6086.085727360892     All      -5.9138714989962244e-05    -4.4378504113331456e-05    -9.197266260638825e-05     7.035687620702271e-07     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5944.305062886539     All      -0.0002123438158175293     -1.6870426777267734e-05    -0.00023236332860571748    5.330280554439031e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4592.1360378891995    All      -0.00023173842580317218    0.00011829186479457839     -0.0006005449985361931     8.721681622094206e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4203.688633195083     All      -0.00035199754415381315    4.482489360186193e-05      -0.00029708173682910466    0.00011600072957983315    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5135.143919498679     All      7.822572829016799e-05      0.00022576232522775175     -0.0012291465874848034     -6.793643500923228e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B           4224.494512157613     All      -0.00010630102830605348    3.9697955416702814e-05     7.278313028551347e-05      5.080464904621226e-05     
MWEBV         All|All|All                              All                   All      -0.8484749767813402        -3.8637667273786036        0.030512090812218062       -0.9808181088455992       
Redshift      All|All|All                              All                   All      6.6056479921487306         0.15724846038818185        10.605156222659717         -1.627196459041097        
