#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V           5144.477698772758     All      0.11481416933514589        0.16079523919536598        0.3660736999100599         0.03131373509703528       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3435.355805421051     All      -0.09077637229982966       0.030987208966148927       0.01979595389871403        0.040545806824137595      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7267.823145226177     All      0.4418585532043558         -0.1363748303786494        0.1299969731585044         -0.18254846848869385      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I           7859.916800803774     All      0.0936623358651064         -0.053959173808593164      0.0700717595120067         -0.04495820150506666      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R           6086.085727360892     All      0.3313229646959737         -0.10797972964509128       0.27195097993233946        -0.13095941696753569      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5944.305062886539     All      0.9711463985027746         0.05120358505017464        -0.2486777809935111        -0.3107529867911111       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4592.1360378891995    All      -0.4229288463418731        0.30935195132659743        -0.3906885158214083        0.22109331302962137       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4203.688633195083     All      -0.400887866409179         0.15526032321577787        0.0166107727896631         0.18189702459190252       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5135.143919498679     All      0.15952901973726527        0.42861202706045987        -0.3883739113292891        0.07031784412738827       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B           4224.494512157613     All      -0.2016265925045318        0.15787786647969426        0.15404941638614653        0.12397694756649126       
Check         All|All|All                              All                   All      0.996113763785208          0.9957744674618851         0.0008093474432256109      -7.440251583093471e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V           5144.477698772758     All      5.469778668694391e-05      6.549860712117803e-05      0.00016677872213076764     1.0960750933599118e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3435.355805421051     All      -0.0003303525683388592     0.00011161835870331275     6.881777371776858e-05      0.0001470354925216633     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7267.823145226177     All      -5.306276920499756e-05     -2.7424313725875404e-05    -0.0005365246888676702     -1.559134426571618e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I           7859.916800803774     All      -7.714698314033993e-06     5.879794393943337e-06      -1.6172988562754317e-05    3.7064473208078135e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R           6086.085727360892     All      -8.636422961121818e-05     2.7951901691295395e-05     -0.00011599264555494836    3.20603058180735e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5944.305062886539     All      -0.00018201135388261493    2.2490533252361155e-05     -0.0008302939198657328     2.95607883105442e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4592.1360378891995    All      -0.00025797670613802705    0.00017632999831718562     -0.0006013712647239682     0.0001146315443609215     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4203.688633195083     All      -0.0003052754555458324     7.416238409749448e-05      -0.0001298775153766904     0.00011779955050056035    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5135.143919498679     All      -4.089147762592233e-05     0.00043665718860801675     -0.0015575970535076163     8.604490876332106e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B           4224.494512157613     All      -0.00011395199327571452    6.827048157636755e-05      6.389825630504747e-05      6.220734070549628e-05     
MWEBV         All|All|All                              All                   All      -0.8436697950266878        -3.881820136483327         0.037734123014980844       -0.9879416177861848       
Redshift      All|All|All                              All                   All      8.430098177315706          -2.818311156503306         17.63670870943357          -2.8769316744712095       
