#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3484.4055520817064    All      -0.9295146726162451        0.28819849996324365        0.28213132922736417       0.40923946732366046       
Zeropoint     AB|SDSS|SDSS_i            5521.40095195267      All      1.2248248872114664         0.2980991043010306         0.060259905242354694      -0.29917595305935935      
Zeropoint     AB|SDSS|SDSS_r            4553.076416694621     All      0.5232807623762474         0.37615679461140417        -0.5790701872340487       -0.0737643594188625       
Zeropoint     AB|SDSS|SDSS_z            6564.485475327624     All      0.1772470008278075         0.035736835431521285       0.23072723376619808       -0.035798219664598396     
Check         All|All|All               All                   All      0.9958379777992762         0.9981912343071997         -0.005951718998131739     0.0005009351808402118     
Lambda        AB|SDSS|SDSS_g            3484.4055520817064    All      -0.0010820257274852022     0.00027158962379331255     -0.0002208041929366751    0.00043106357551993165    
Lambda        AB|SDSS|SDSS_i            5521.40095195267      All      -0.00019852287094486012    -5.835524810534536e-05     -0.0011966118626100465    -7.742085452137341e-06    
Lambda        AB|SDSS|SDSS_r            4553.076416694621     All      -0.0005040544742633959     -0.00020849462270478353    -0.0025003250941530424    -1.530445809132069e-05    
Lambda        AB|SDSS|SDSS_z            6564.485475327624     All      -4.4310976453216096e-05    -9.537578192351287e-06     -7.151580806018591e-05    8.13541777088578e-06      
MWEBV         All|All|All               All                   All      -0.6655103627062233        -2.6538106870113154        0.09234723580851534       -0.6435337957652526       
Redshift      All|All|All               All                   All      6.087229236647049          0.8511725685014682         4.123437563519594         -1.521545837766579        
