#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3484.4055520817064    All      -0.886703987340796        0.270948758639733          0.10790786501370576        0.38190101742260807        
Zeropoint     AB|SDSS|SDSS_i            5521.40095195267      All      1.1771802130942863        0.28337593841829545        0.023765972775893443       -0.2900808913373594        
Zeropoint     AB|SDSS|SDSS_r            4553.076416694621     All      0.48797531324484544       0.395056477899125          -0.5268397781888072        -0.053777161223969715      
Zeropoint     AB|SDSS|SDSS_z            6564.485475327624     All      0.2178912289303489        0.04904399926868308        0.39696766523230603        -0.03728425391688596       
Check         All|All|All               All                   All      0.9963427679286845        0.9984251742258365         0.001801724833097984       0.0007587109443929693      
Lambda        AB|SDSS|SDSS_g            3484.4055520817064    All      -0.0012526982745354191    0.0002931598590123067      -0.0007763436295799538     0.00046889220074764566     
Lambda        AB|SDSS|SDSS_i            5521.40095195267      All      2.819940183923545e-05     2.1370987846020114e-06     -0.00044720457951610837    -2.8446035976658076e-05    
Lambda        AB|SDSS|SDSS_r            4553.076416694621     All      -0.0006153349900310204    -0.0002180476403205195     -0.0029636237579997457     -2.8433567216495643e-06    
Lambda        AB|SDSS|SDSS_z            6564.485475327624     All      -5.430233841011746e-05    -1.3366701386429564e-05    -0.00012080604915330757    7.94306458947386e-06       
MWEBV         All|All|All               All                   All      -0.6391780359388377       -2.651969314728042         0.10926279075838094        -0.6507564418421193        
Redshift      All|All|All               All                   All      6.307327404758843         0.5904008396012017         5.934141029276172          -1.5973776039566143        
