#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|WFC3|WFC3_f125w        3857.713145986106    All      -2.348569745020862        0.16637805961892127        -2.143156785819844         0.7235619951082947         
Zeropoint     AB|WFC3|WFC3_f153m        4704.644321738453    All      0.5596335458574817        0.078916042602728          0.5263195056057102         -0.13309828370904608       
Zeropoint     AB|WFC3|WFC3_f127m        3909.777905628445    All      -0.4799200866277292       0.06627100113263396        1.805270767265743          0.25847334947093487        
Zeropoint     AB|WFC3|WFC3_f139m        4247.230677443153    All      0.22029750271421764       0.0871383464279063         1.2510555064384254         0.01245454335366547        
Zeropoint     AB|WFC3|WFC3_f160w        4735.059975332801    All      2.3284882402049427        0.3763208153820585         -3.737908439982185         -0.8026908407493302        
Zeropoint     AB|WFC3|WFC3_f140w        4313.482469559815    All      0.7083861104889835        0.22269145762017217        2.239900017403207          -0.05825027703080521       
Check         All|All|All               All                  All      0.9883155676170345        0.9977157227844202         -0.058519429088943475      0.00045048644371348256     
Lambda        AB|WFC3|WFC3_f125w        3857.713145986106    All      -0.003003948506016489     0.0002726690073199695      -0.00439231533619175       0.0008712932613284003      
Lambda        AB|WFC3|WFC3_f153m        4704.644321738453    All      -0.001264186593035564     -0.00019653575914300783    -0.0015278950239712864     0.0002795860637161205      
Lambda        AB|WFC3|WFC3_f127m        3909.777905628445    All      -0.001326998635238236     0.00014848029621635447     0.006144466104422702       0.0007548113315180785      
Lambda        AB|WFC3|WFC3_f139m        4247.230677443153    All      -0.0005745396687995731    -0.00020612677364041998    -0.0017568076698089364     4.160594279978137e-05      
Lambda        AB|WFC3|WFC3_f160w        4735.059975332801    All      0.00032405370092823454    -6.978009954371323e-06     -1.1059852441624406e-05    -0.00010832146927267376    
Lambda        AB|WFC3|WFC3_f140w        4313.482469559815    All      4.462489148792719e-05     5.0268505137641426e-05     0.0007380692120019142      3.477494973745163e-05      
MWEBV         All|All|All               All                  All      -0.012214925077486338     -0.6556251081001108        -0.017590763499730766      -0.21036485916028913       
Redshift      All|All|All               All                  All      4.242951047963187         0.14721582013166312        2.7205769763915533         -1.212708854093121         
