#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4776.23456261797      All      3.754226182840474         0.5012939013397499         -2.4698937666925325       -1.1698070773738114       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3988.5015607278683    All      -2.7614708417725486       0.5014247926057536         2.496875793069797         1.1742565531038647        
Check         All|All|All                            All                   All      0.9927553410679252        1.0027186939455035         0.026982026377264656      0.004449475730053276      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4776.23456261797      All      -0.0005919313872879506    -0.00010964041362539885    -0.0008263759219913835    0.00012022067503248604    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3988.5015607278683    All      -0.0013384048632944815    0.0001621847661561344      -0.0010159973432034852    0.0004434521151243448     
MWEBV         All|All|All                            All                   All      -0.08871695009620129      -2.0076461804018564        0.013365936602338646      -0.6244619208440179       
Redshift      All|All|All                            All                   All      1.5225274447955361        -0.4715803374462979        -7.698373208653186        -0.9930895478264888       
