#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4776.23456261797      All      3.8741436278928054        0.5772035743245141        0.2796051205828624        -1.061444349201446       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3988.5015607278683    All      -2.8828367413853044       0.42472231749286493       -0.2788577432738711       1.0649366606024917       
Check         All|All|All                            All                   All      0.9913068865075005        1.001925891817379         0.000747377308991326      0.003492311401045667     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4776.23456261797      All      -0.0004846789374244345    -9.499806536558058e-05    -0.0006838178879874246    9.641622847054617e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3988.5015607278683    All      -0.001405421845784521     0.00015302524908242444    -0.0011463634814620049    0.0004564805530640556    
MWEBV         All|All|All                            All                   All      -0.08818799134776123      -2.007488308448657        0.01598344175688093       -0.6244659887883398      
Redshift      All|All|All                            All                   All      1.7869299681652437        -0.37545213728513716      -2.5917337276494          -0.8200161648659117      
