#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3598.527953426323    All      -1.9299915542487949       0.10235701142295994       -0.5019284730727019        0.6396040276419527         
Zeropoint     AB|MEGACAMPSF|i           4400.04367470411     All      1.908838493113588         0.7399306402755101        0.9375592758341283         -0.33891277916899104       
Zeropoint     AB|MEGACAMPSF|z           5068.124719149157    All      1.0216111871016287        0.15670974108914493       -0.43528687640706626       -0.3011517094723947        
Check         All|All|All               All                  All      1.000458125966422         0.998997392787615         0.00034392635436014674     -0.0004604609994330877     
Lambda        AB|MEGACAMPSF|r           3598.527953426323    All      -0.002602916552095481     0.0001033036047933193     -0.0019990273979282997     0.0007922975255285419      
Lambda        AB|MEGACAMPSF|i           4400.04367470411     All      -0.0007938929572614053    -0.0002618559874249453    -0.0033711980977672675     2.286085682161051e-05      
Lambda        AB|MEGACAMPSF|z           5068.124719149157    All      0.00018929896896687022    3.090325920304949e-05     -0.00011395586503151383    -5.6680020610142715e-05    
MWEBV         All|All|All               All                  All      -0.2696640205333676       -1.8826627248214933       -0.05623987766506647       -0.52791647150757          
Redshift      All|All|All               All                  All      9.497280120155956         1.3304889292344413        5.772252916413642          -2.402603433671937         
