#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4599.816502106116    All      -2.4408907495269196       1.174659648660814          -0.8735237374450061       1.1387223603119765        
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    5589.689081849056    All      3.4411862395641566        -0.1685103952549838        0.8421878538766775        -1.138213973562878        
Check         All|All|All                         All                  All      1.000295490037237         1.0061492534058303         -0.031335883568328615     0.0005083867490984773     
Lambda        Linear_AB11_off|Knop|Bessell12_R    4599.816502106116    All      -0.0012375653594291723    -0.00010679969457780119    -0.003014846443402595     0.0002337888280473015     
Lambda        Linear_AB11_off|Knop|Bessell12_I    5589.689081849056    All      -0.0006352744432779635    0.00014789195908495076     -0.0031718847914469985    0.00011355641235657183    
MWEBV         All|All|All                         All                  All      -0.24276127785634394      -2.5767162493824713        -0.013077939527952887     -0.760829527440214        
Redshift      All|All|All                         All                  All      3.0259347641994827        0.813921586341948          9.123590051138047         -0.3133815442513427       
