#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4599.816502106116    All      -2.449451895801472         1.178630121635038         -0.8145386596881637       1.145436554090955         
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    5589.689081849056    All      3.447710781946166          -0.1764846561037814       0.8201625934800312        -1.1439195969847502       
Check         All|All|All                         All                  All      0.9982588861446937         1.0021454655312567        0.00562393379186743       0.0015169571062048082     
Lambda        Linear_AB11_off|Knop|Bessell12_R    4599.816502106116    All      -0.001400368597549444      -5.726767076974253e-05    -0.0029912015361760248    0.00030400857209237335    
Lambda        Linear_AB11_off|Knop|Bessell12_I    5589.689081849056    All      -0.00031129079278074826    8.210485513327245e-05     -0.00259400177139624      1.2383519619783643e-05    
MWEBV         All|All|All                         All                  All      -0.24728270705258204       -2.578314273165816        0.0005310340472459449     -0.7592699721331471       
Redshift      All|All|All                         All                  All      2.706538782047065          0.7173919913583404        8.210995249612097         -0.2815115444598916       
