#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7605.380958177117     All      0.7971724055656164        -0.09981348528453893       0.17497931496353852       -0.28436929143327383       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5236.865146471501     All      1.5439973242027345        0.42910683470305244        -0.0802618230022906       -0.36673822776905407       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4185.9671612549955    All      -1.3326091345782638       0.6673888547074291         -0.09281900947439216      0.6473230569992512         
Check         All|All|All                                All                   All      1.0085605951900873        0.9966822041259427         0.001898482486855771      -0.0037844622030767106     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7605.380958177117     All      -0.0001774670220452802    1.2858691248851924e-05     -0.0001514226785299843    5.523804766629455e-05      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5236.865146471501     All      0.0005182829043202725     -5.7958623258882455e-05    -0.0015016487679451863    -0.00025471251100574774    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4185.9671612549955    All      -0.0008334379545823986    0.00022100732083085196     -0.0012828041188706774    0.00028622186030226966     
MWEBV         All|All|All                                All                   All      -0.7085204559547096       -3.8843574207291454        0.04121859579769298       -1.0326351847394633        
Redshift      All|All|All                                All                   All      4.314405310296985         0.014281344730893153       4.19191149718457          -1.213626088095051         
