#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     AB|SDSS|SDSS_r            4847.163764195666    All      0.8497342716952013         0.5269986836337281         1.1571781184862933         -0.05348605401591239     
Zeropoint     AB|SDSS|SDSS_g            3709.46647631138     All      -1.0191232212166401        0.3603571397361449         -0.7290449830497564        0.41680820790715584      
Zeropoint     AB|SDSS|SDSS_i            5878.033262031117    All      1.0831524585499352         0.1028719066624717         -0.5006354499164047        -0.34165068681629024     
Zeropoint     AB|SDSS|SDSS_z            6988.491563622039    All      0.08426486543097955        0.008075959331854676       0.07606740663566591        -0.021422694263856235    
Check         All|All|All               All                  All      0.9980283744594761         0.9983036893641994         0.003565092155798033       0.0002487728110969756    
Lambda        AB|SDSS|SDSS_r            4847.163764195666    All      -0.00029988793707026365    -0.00011204861289410693    -0.001269453408207386      4.535572394705163e-06    
Lambda        AB|SDSS|SDSS_g            3709.46647631138     All      -0.0016707150317925154     0.0004664070587793595      -0.0023191879865208905     0.000592636265934369     
Lambda        AB|SDSS|SDSS_i            5878.033262031117    All      -0.00022497456897716366    -1.4965555267300323e-05    0.0003916876123570298      8.588606403999233e-05    
Lambda        AB|SDSS|SDSS_z            6988.491563622039    All      -5.921078183062033e-05     -7.5855973677196605e-06    -0.00010714195786644589    1.203476750332169e-05    
MWEBV         All|All|All               All                  All      -0.5645649586250898        -2.9373003502550787        0.10985306588760513        -0.7679757399359568      
Redshift      All|All|All               All                  All      4.439249916509085          -0.13420403750643572       3.230030372197897          -1.3455829944704913      
