#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4847.163764195666    All      0.7166612791269809         0.5201044673748711         1.3690286944370855        -0.0029315572033319272    
Zeropoint     AB|SDSS|SDSS_g            3709.46647631138     All      -1.083238567570358         0.3922384962612213         -0.6418867854057233       0.4519669622902265        
Zeropoint     AB|SDSS|SDSS_i            5878.033262031117    All      1.2545826616332432         0.07716797867782788        -0.8534094377164387       -0.42160644166858874      
Zeropoint     AB|SDSS|SDSS_z            6988.491563622039    All      0.10899839567819523        0.009487552480713646       0.1319498015371801        -0.026525641819833197     
Check         All|All|All               All                  All      0.9970037688680612         0.998998494794634          0.005682272852103598      0.0009033215984726103     
Lambda        AB|SDSS|SDSS_r            4847.163764195666    All      -0.00010042136979007635    -7.247511114153219e-05     -0.0010192889016865866    -3.638316641124372e-05    
Lambda        AB|SDSS|SDSS_g            3709.46647631138     All      -0.001940990595270578      0.0005648848714766894      -0.0021944270181088383    0.0007183188811942529     
Lambda        AB|SDSS|SDSS_i            5878.033262031117    All      -0.0002078608467812757     5.097361398564568e-06      0.00038287975092913526    8.645365930199734e-05     
Lambda        AB|SDSS|SDSS_z            6988.491563622039    All      -5.5206212634383204e-05    -4.7517734318469345e-06    -7.105759648365199e-05    1.3263696574682719e-05    
MWEBV         All|All|All               All                  All      -0.5442834429673047        -2.946319326900415         0.07782373717025551       -0.7789491960719171       
Redshift      All|All|All               All                  All      4.576533443432354          -0.5949650365741022        2.955845343757257         -1.552621390199255        
