#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_r          5131.652837490865     All      0.3386353866589759        0.47432062181300694        0.07793620272909059        0.04767507978108027       
Zeropoint     AB|DECam|DECam_i          6234.3172418014665    All      1.0097048330738583        0.03306064612171866        -0.10627691558456481       -0.32286779296000817      
Zeropoint     AB|DECam|DECam_g          3861.0729884584894    All      -0.7865514326399408       0.5103915493084088         -0.16031912945780974       0.4153026909487393        
Zeropoint     AB|DECam|DECam_z          7305.702898821696     All      0.4342895357904656        -0.019174642587671542      0.18951426369113936        -0.13925105024509807      
Check         All|All|All               All                   All      0.9960783228833592        0.9985981746554629         0.00085442137785538        0.0008589275247133099     
Lambda        AB|DECam|DECam_r          5131.652837490865     All      -7.440024758607898e-05    -2.917608803605289e-05     -0.0011872509583001679     -3.825056082641594e-05    
Lambda        AB|DECam|DECam_i          6234.3172418014665    All      -0.0002459759880354158    -2.215093458889489e-05     -0.00023689994779598145    6.233542690503956e-05     
Lambda        AB|DECam|DECam_g          3861.0729884584894    All      -0.000971095795223576     0.000481771843117146       -0.0012247803551381016     0.00041859046569602676    
Lambda        AB|DECam|DECam_z          7305.702898821696     All      -9.506301494936631e-05    -1.1748551595037495e-05    -0.0002828062635342459     1.4517917019588642e-05    
MWEBV         All|All|All               All                   All      -0.48260968622228706      -3.032584889732881         0.08238147214321065        -0.8269345087384281       
Redshift      All|All|All               All                   All      4.211688269618074         0.4345131252581069         -0.39517450238728136       -1.2479850329599431       
