#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           6010.9400617037545    All      1.668338781960986          0.05151289583142926        0.6015372357501159        -0.49980953903315667      
Zeropoint     AB|MEGACAMPSF|g           3831.748792353215     All      -0.6234968326991908        0.3425518374081449         -0.11789112270801372      0.3094128945590677        
Zeropoint     AB|MEGACAMPSF|z           6918.736627372286     All      0.2582939440858071         -0.10144737333277476       -0.4526579002445352       -0.13737962532641146      
Zeropoint     AB|MEGACAMPSF|r           4906.068931974787     All      -0.3112189545900169        0.7081870496357112         -0.030705347246162695     0.33068383441465926       
Check         All|All|All               All                   All      0.9919169387575854         1.0008044095425106         0.0002828655514042211     0.0029075646141588085     
Lambda        AB|MEGACAMPSF|i           6010.9400617037545    All      -0.0003858915163221994     -5.7050100155335866e-05    -0.000605307678892626     8.010236617543118e-05     
Lambda        AB|MEGACAMPSF|g           3831.748792353215     All      -0.0008153784568175248     0.00023979236632250216     -0.0009629760063592868    0.0003007306548106856     
Lambda        AB|MEGACAMPSF|z           6918.736627372286     All      -8.517195454706857e-05     3.230577602843528e-05      0.00014304282718787404    4.4649706156430814e-05    
Lambda        AB|MEGACAMPSF|r           4906.068931974787     All      -0.00018756863591014558    0.0001434981272432565      -0.0004030003815794332    8.985528041596734e-05     
MWEBV         All|All|All               All                   All      -0.4894733779593041        -2.950383187213035         0.025157978982304208      -0.8004766013463046       
Redshift      All|All|All               All                   All      5.074123227073902          -0.7685391209788506        -1.6570737888996545       -1.977094937176549        
