#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           6010.9400617037545    All      1.758038673007392          0.05205542250497075       0.5464589381837585        -0.5313089172544777       
Zeropoint     AB|MEGACAMPSF|g           3831.748792353215     All      -0.6570067115914766        0.3739474101179141        -0.08552773567176718      0.3319989647955566        
Zeropoint     AB|MEGACAMPSF|z           6918.736627372286     All      0.2079776481372286         -0.08507722196160472      -0.3488078161045937       -0.11102330322643736      
Zeropoint     AB|MEGACAMPSF|r           4906.068931974787     All      -0.31639268893160755       0.6597942469594997        -0.11173525043697738      0.31298996957043695       
Check         All|All|All               All                   All      0.9926169206215366         1.0007198576207799        0.00038813597042017256    0.002656713885078432      
Lambda        AB|MEGACAMPSF|i           6010.9400617037545    All      -0.00021207118181189248    -2.828156128630174e-05    -0.0002597469706137055    4.827501158029742e-05     
Lambda        AB|MEGACAMPSF|g           3831.748792353215     All      -0.0008435293051727722     0.00034113478807093717    -0.0006281167023015729    0.00035785410587244103    
Lambda        AB|MEGACAMPSF|z           6918.736627372286     All      -6.06894641782741e-05      2.520257168113513e-05     0.00010312089997845282    3.257967399233136e-05     
Lambda        AB|MEGACAMPSF|r           4906.068931974787     All      -0.00014723588019835437    0.00022800464428525817    -0.0001822600748629883    0.00011409475381999451    
MWEBV         All|All|All               All                   All      -0.49772079046596174       -2.951865096157391        0.007923672971142886      -0.7990419421805808       
Redshift      All|All|All               All                   All      4.569985014366969          -1.1406230535120798       -2.0600734879601914       -1.9520645393256013       
