#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7374.864094928733    All      0.5007850504136448         -0.14198165976075927      0.2789806181247301        -0.1969206402251844       
Zeropoint     AB|PS|PS_r                6088.807102537315    All      1.178247620370693          -0.033746256784006334     -0.5043455108260805       -0.41729290297650573      
Zeropoint     AB|PS|PS_g                4794.592588858939    All      -1.0793779311796137        1.2638230767912262        0.11270180264461166       0.7682870211508638        
Zeropoint     AB|PS|PS_z                8475.518362247569    All      0.3965186937044088         -0.08929881834269793      0.11467712464888619       -0.1531292332150519       
Check         All|All|All               All                  All      0.9961734333091333         0.9987963419037627        0.00201403459214744       0.0009442447341216909     
Lambda        AB|PS|PS_i                7374.864094928733    All      -0.00012404779522767634    3.814924778334329e-05     -0.0006097697461517319    2.5621689833300438e-05    
Lambda        AB|PS|PS_r                6088.807102537315    All      -0.00017800181476424257    5.1144049397558245e-05    -0.0009003282664191812    3.446283116038208e-05     
Lambda        AB|PS|PS_g                4794.592588858939    All      -0.00042171798045140496    0.00010848891153184088    -0.0008589456114997579    0.00013437503036084006    
Lambda        AB|PS|PS_z                8475.518362247569    All      0.0004168684569373258      -0.0001388035713876098    0.0004980731416237674     -0.0001587739439486904    
MWEBV         All|All|All               All                  All      -0.676480779783935         -4.067630360812657        0.08654233511126153       -1.1007469971069965       
Redshift      All|All|All               All                  All      5.11340208342625           0.2448779243418464        6.397943156911233         -1.3003276698982296       
