#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7374.864094928733    All      0.5126598712878448         -0.13729745326926945       0.3344101590734997        -0.19678929405994947       
Zeropoint     AB|PS|PS_r                6088.807102537315    All      1.176665963594637          -0.019236688215151787      -0.5099509736610423       -0.41230160755744355       
Zeropoint     AB|PS|PS_g                4794.592588858939    All      -1.1091985545068943        1.2402575048264808         0.05813201986873395       0.7678892983893784         
Zeropoint     AB|PS|PS_z                8475.518362247569    All      0.4194685005323738         -0.08425213343645765       0.11804591911532883       -0.15881053519544996       
Check         All|All|All               All                  All      0.9995957809079614         0.9994712299056019         0.0006371243965202222     -1.2138423464591597e-05    
Lambda        AB|PS|PS_i                7374.864094928733    All      -0.00013010929415317455    3.823737542180064e-05      -0.0006376742597809549    2.6379575239408593e-05     
Lambda        AB|PS|PS_r                6088.807102537315    All      -0.00023593077912369462    3.376324263062545e-05      -0.0008289393590919103    5.0856459139650937e-05     
Lambda        AB|PS|PS_g                4794.592588858939    All      -0.0003515155242275568     -1.2770541663048138e-05    -0.0009503017687631636    6.793278183842191e-05      
Lambda        AB|PS|PS_z                8475.518362247569    All      0.00040133706469624845     -0.00014511763139016818    0.0005251508160276053     -0.00015456320335199828    
MWEBV         All|All|All               All                  All      -0.682608892180911         -4.065701450522141         0.08023832146507946       -1.0984038789252488        
Redshift      All|All|All               All                  All      5.227186159475341          0.9256931649574973         5.803711999079202         -1.1421447721967404        
