#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|MOSAICII|MOSAICII_R 4730.680118192856 All -2.4942422742278616 1.6549058327924904 1.3851207272551136 1.4133256178027045
Zeropoint Linear_AB11_off|MOSAICII|MOSAICII_I 5664.994119014213 All 2.700321455101701 -0.34496597611917323 -4.181551124070356 -1.1785537248268771
Check All|All|All All All 0.20607918087383903 1.3099398566733171 -2.796430396815242 0.23477189297582735
