#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4730.680118192856    All      -2.184425498842507        1.3570840029064613        0.5172404137821285        1.1766682209892898         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5664.994119014213    All      3.184023836353074         -0.35418049426567677      -0.5042890045291812       -1.17501365610399          
Check         All|All|All                            All                  All      0.9995983375105675        1.0029035086407845        0.012951409252947244      0.001654564885299914       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4730.680118192856    All      0.00010116061153914194    -7.047420877140867e-05    -8.977914402613859e-05    -5.9913538450205735e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5664.994119014213    All      0.0004105127852839412     0.00022196490055913256    0.0063824390754131655     0.0002234026933572623      
MWEBV         All|All|All                            All                  All      -0.2930667272141667       -2.6307320207077822       -0.0528202630021868       -0.7638116187377575        
Redshift      All|All|All                            All                  All      5.240652114059917         1.025441347321454         1.710758151856328         -1.2966895439524906        
