#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          5010.3230611005765    All      0.022094348914160955       0.552151326415995         -0.339835077422313        0.15749171722963426        
Zeropoint     AB|DECam|DECam_i          6086.916717867401     All      1.0155035295824415         0.033289267721059446      -0.3869151041554445       -0.3372057430393088        
Zeropoint     AB|DECam|DECam_g          3769.7840534600523    All      -0.6487894657432169        0.4294394603405749        0.11615190997972721       0.3563979601794836         
Zeropoint     AB|DECam|DECam_z          7132.971163616998     All      0.605692782468506          -0.015697932082758825     0.6115921706005316        -0.17511484924397133       
Check         All|All|All               All                   All      0.9945011952218913         0.9991821223948705        0.0009938990025013528     0.0015690851258377547      
Lambda        AB|DECam|DECam_r          5010.3230611005765    All      -0.00031586536470567747    -8.737514351333713e-05    -0.0022427151074130296    -2.5655292678581353e-05    
Lambda        AB|DECam|DECam_i          6086.916717867401     All      -0.00017616669960137055    -3.399156053497637e-05    -0.0005721085385357659    2.0780543741691935e-05     
Lambda        AB|DECam|DECam_g          3769.7840534600523    All      -0.0009336105268263184     0.0005848137469305387     -3.225584543497234e-05    0.0004931613104013896      
Lambda        AB|DECam|DECam_z          7132.971163616998     All      -0.00031848907133589816    -2.296698364089293e-05    -0.0008193686763809028    5.969660554749887e-05      
MWEBV         All|All|All               All                   All      -0.47249158073171804       -2.925266635823931        0.05248987765759887       -0.7966071471834274        
Redshift      All|All|All               All                   All      6.239090057667706          -0.043671709043024975     7.4948774424062075        -1.7120402466127302        
