#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     AB|SDSS|SDSS_i            6181.009437427458     All      1.2939427111796682         0.10145397732976846        2.3611350203339447         -0.2830662006723613      
Zeropoint     AB|SDSS|SDSS_g            3900.6664773412163    All      -0.947452224345789         0.5949450899075615         1.3785783441247097         0.5639291685336925       
Zeropoint     AB|SDSS|SDSS_z            7348.704980482521     All      0.10445823709499773        0.00808679261563583        0.21937914279461157        -0.02160146642231274     
Zeropoint     AB|SDSS|SDSS_r            5097.005007572413     All      0.5610405303010223         0.29536286558240477        -3.818571011188679         -0.2569452421014549      
Check         All|All|All               All                   All      1.0119892542298992         0.9998487254353705         0.1405214960645873         0.0023162593375634644    
Lambda        AB|SDSS|SDSS_i            6181.009437427458     All      -0.00021144097142320386    -2.795649631937549e-05     -0.0002850419652495187     4.704681624255516e-05    
Lambda        AB|SDSS|SDSS_g            3900.6664773412163    All      -0.0008733977244235723     0.0004589912698314402      -0.0008361309100467356     0.0003966902474197426    
Lambda        AB|SDSS|SDSS_z            7348.704980482521     All      -2.2772486465907783e-05    -1.731098286341511e-06     -4.6761983491410044e-05    4.767099817994495e-06    
Lambda        AB|SDSS|SDSS_r            5097.005007572413     All      -6.0593023894124086e-05    -2.0813126826947126e-05    -0.00012090318439485998    7.562267363218614e-06    
MWEBV         All|All|All               All                   All      -0.5797985271310417        -3.177592532386697         0.1093628765991555         -0.8413066094988833      
Redshift      All|All|All               All                   All      4.932856838336044          0.5708813321337658         -3.525669541704521         -1.578173365933485       
