#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6181.009437427458     All      1.188578884618994          0.10525926735738267       1.9471827822360996         -0.2659790150147445       
Zeropoint     AB|SDSS|SDSS_g            3900.6664773412163    All      -0.956456526627115         0.5746842343729242        1.966300464603557          0.586489877736393         
Zeropoint     AB|SDSS|SDSS_z            7348.704980482521     All      0.1380042480451485         0.013456614936302458      0.3265910235235092         -0.025995004197434946     
Zeropoint     AB|SDSS|SDSS_r            5097.005007572413     All      0.6320267032718933         0.30676589125935294       -4.202278363912005         -0.2934765302503209       
Check         All|All|All               All                   All      1.0021533093089205         1.0001660079259622        0.03779590645116038        0.0010393282738926923     
Lambda        AB|SDSS|SDSS_i            6181.009437427458     All      -0.0002569761374204611     -3.235044174199325e-05    -0.0001774170704147024     6.525067004288392e-05     
Lambda        AB|SDSS|SDSS_g            3900.6664773412163    All      -0.0007996270051043307     0.00034407262848261085    -0.0019077118554294973     0.0002874081789554073     
Lambda        AB|SDSS|SDSS_z            7348.704980482521     All      4.844292384197189e-06      9.134520231749821e-07     0.0001758600451482478      6.567422092601873e-06     
Lambda        AB|SDSS|SDSS_r            5097.005007572413     All      -0.00018007248714795656    -5.431928735659025e-05    -0.00035586969332004236    2.5081124366944795e-05    
MWEBV         All|All|All               All                   All      -0.5929399793722321        -3.1726240030574004       0.14119552389182666        -0.8339870478540679       
Redshift      All|All|All               All                   All      5.061255521191612          1.050450534684444         -3.802828625285802         -1.476153911456457        
