#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                            6100.766940586859     All      0.036274969701195245       0.025141872100320484       0.17956081223216014        0.004386558200303314       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6103.743272539638     All      0.9738664833156764         -0.0846830067620985        -0.17741262732429153       -0.3527215048929           
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4300.449133968265     All      -0.6251225614560814        0.39939906912067613        -0.02313485636349366       0.332687998454384          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5389.2563117225645    All      0.4421156613000613         0.033441407029854986       -0.8772773815395984        -0.17226750994825124       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5378.623345002978     All      0.12801061152638166        0.08835390584049918        0.3549607027765189         0.002922772180619093       
Zeropoint     AB|PS|PS_g                            4804.01028758229      All      0.048993190980463064       0.3980737738057627         2.0774785816346064         0.2064153578205996         
Zeropoint     AB|PS|PS_i                            7389.350049029002     All      0.057711399339783157       -0.01872218276233184       -0.050431065214540105      -0.02714743909983941       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7406.748730548539     All      0.5066732047277118         -0.0639409552356085        0.15589441156327322        -0.17891095295737847       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4630.293244000033     All      -0.6000261040354009        0.2218356050114778         -1.6390988630254233        0.19456194293563378        
Zeropoint     AB|PS|PS_z                            8492.166258180448     All      0.060361604900873646       -0.019541476131124114      -0.05600216948560277       -0.028526181840887732      
Check         All|All|All                           All                   All      1.028858460300664          0.9793580120174283         -0.05546245474639111       -0.01859895914771703       
Lambda        AB|PS|PS_r                            6100.766940586859     All      -4.034880650147841e-05     8.885162902822678e-06      -1.9235511285723264e-05    1.5178731061288925e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6103.743272539638     All      -0.00015077601292325015    -6.787964859640605e-05     -0.00039539495514067096    9.35741220604957e-06       
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4300.449133968265     All      -0.00031014788245463956    8.195621108192956e-05      -0.0005758406123742359     0.00010202408131638398     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5389.2563117225645    All      3.7677287467949684e-05     -9.775334502222602e-05     -0.0010285852530613573     -9.001524826045006e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5378.623345002978     All      5.5434568395657504e-06     6.484496868229019e-06      1.9806424430214786e-05     1.1903974513363829e-06     
Lambda        AB|PS|PS_g                            4804.01028758229      All      -4.89857729366606e-06      -6.7448486635137935e-06    0.00018087368198681477     7.470170378614297e-06      
Lambda        AB|PS|PS_i                            7389.350049029002     All      -1.2387007944447416e-05    -1.0339879916188142e-05    -9.573177426211006e-05     -3.6052524578663866e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7406.748730548539     All      -8.407274181990762e-05     -1.3239600720056586e-05    -0.00018772510872389986    1.4695374985236726e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4630.293244000033     All      -6.655676732547839e-05     -9.804614512363214e-05     -0.0010374107995658245     -5.655200564777581e-05     
Lambda        AB|PS|PS_z                            8492.166258180448     All      1.5803379948742537e-05     -9.72122585240115e-06      -4.747679295195355e-05     -1.0432875060443429e-05    
MWEBV         All|All|All                           All                   All      -0.8312247748008978        -4.024440172385191         -0.0009058871016542902     -1.0401757342401368        
Redshift      All|All|All                           All                   All      4.9132092357636985         1.5957724432841047         8.711104141679959          -0.6918617345503059        
