#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                            6100.766940586859     All      0.5707697254117405         -0.035572011011275606      0.03548048489518381        -0.19592212051868924      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6103.743272539638     All      0.666668235615652          -0.05928016522798174       -0.06420617402894502       -0.23933050380638413      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4300.449133968265     All      -0.45879087229716464       0.2697370802691168         -0.2089126373169748        0.227982710506142         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5389.2563117225645    All      0.24556047409596368        0.10494014770738858        -0.1289110974644649        -0.05155737678866672      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5378.623345002978     All      0.09906906151465326        0.06819262698751771        0.1374773946396138         -0.003922485818080934     
Zeropoint     AB|PS|PS_g                            4804.01028758229      All      -0.23918805576320923       0.35037596180149677        0.2292961827917707         0.20227283211960218       
Zeropoint     AB|PS|PS_i                            7389.350049029002     All      0.19931271931366631        -0.03864854735615708       0.010001885997812755       -0.07706547501241794      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7406.748730548539     All      0.24497136820250878        -0.04048481659602032       0.055232062705183084       -0.09051771733156971      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4630.293244000033     All      -0.4838975344090096        0.40865274259740403        -0.08632153360346968       0.2868808556686444        
Zeropoint     AB|PS|PS_z                            8492.166258180448     All      0.15188737002233632        -0.03150981060286995       0.021536905920479212       -0.058777402121856885     
Check         All|All|All                           All                   All      0.9963624917071374         0.9964032085686192         0.0006734745361889165      4.3316896722996046e-05    
Lambda        AB|PS|PS_r                            6100.766940586859     All      -7.355737093366616e-05     -8.628489270493906e-06     -0.00010516606318768557    1.6456394464644735e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6103.743272539638     All      -9.840243886797051e-05     -2.4152944499829525e-05    -0.00022516589513703656    1.4137383301096733e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4300.449133968265     All      -0.00027215177252485517    0.00010447290260220577     -0.0003918107676067987     0.0001051943322361334     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5389.2563117225645    All      6.314160710781194e-05      -1.7688172389121625e-05    -0.0003623736203273227     -4.249998875627908e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5378.623345002978     All      1.2054551135490912e-05     6.956381941449504e-06      1.1892224675291254e-05     -1.12994606303795e-06     
Lambda        AB|PS|PS_g                            4804.01028758229      All      -7.724543639980831e-05     -2.595935889299969e-06     -0.00042577955531683667    5.315212192867006e-06     
Lambda        AB|PS|PS_i                            7389.350049029002     All      -1.3067323921533204e-05    -9.543788845202903e-06     -7.43307689056377e-05      -2.16930953216354e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7406.748730548539     All      -3.291105452562571e-05     -9.312072585543477e-06     -9.700446398589399e-05     3.358101099027607e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4630.293244000033     All      -8.841153332054115e-05     -3.408932854080023e-05     -0.0005177813109790073     -5.411672581232278e-06    
Lambda        AB|PS|PS_z                            8492.166258180448     All      0.00017640281792419572     -3.760759131942241e-05     2.2088312219947324e-05     -6.872453109755224e-05    
MWEBV         All|All|All                           All                   All      -0.8000107688449614        -4.035912812734299         0.010357831738847127       -1.0535775312511777       
Redshift      All|All|All                           All                   All      5.631737723254693          0.6484153530931458         3.930038044858549          -1.4478524944677285       
