#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8497.06537727807      All      0.5378397074231241         -0.12834776490819877       0.1132435088744065         -0.21194563896271312       
Zeropoint     AB|PS|PS_i                7393.612954964143     All      0.6245423132837685         -0.3632710793212368        0.5091950458384225         -0.29904028381926434       
Zeropoint     AB|PS|PS_g                4806.7817145456265    All      -1.0296398849806707        1.2586223291218168         0.15346686068743665        0.752210805868621          
Zeropoint     AB|PS|PS_r                6104.286464689437     All      0.8669967506337531         0.2297606423480758         -0.7740613373261049        -0.24211156726363317       
Check         All|All|All               All                   All      0.9997388863599754         0.996764127240457          0.0018440780741606488      -0.0008866841769896994     
Lambda        AB|PS|PS_z                8497.06537727807      All      0.0007969086743386792      -0.000164963979243396      0.00015865871728052612     -0.00030623335808294567    
Lambda        AB|PS|PS_i                7393.612954964143     All      0.0001082705114918029      -0.00010887743241695647    -0.00036518154869347186    -8.702860458624268e-05     
Lambda        AB|PS|PS_g                4806.7817145456265    All      -0.000972499535363459      0.0011328036713590451      -0.00046951903828685356    0.0006648140385919236      
Lambda        AB|PS|PS_r                6104.286464689437     All      -0.00013510078062458375    0.00015919145873676883     -0.0013583131707741432     3.5245385982180766e-05     
MWEBV         All|All|All               All                   All      -0.6111373088487388        -4.134398462759314         0.11358804077245471        -1.1425731571090387        
Redshift      All|All|All               All                   All      7.194303833892778          -3.7528832909355714        9.687342787680624          -3.133557382057363         
