#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8497.06537727807      All      0.5691751511073937        -0.2789883446387087        0.24964515530214726       -0.26513423761228283       
Zeropoint     AB|PS|PS_i                7393.612954964143     All      0.49530647210002876       -0.15693928601043794       0.3409899131798122        -0.19724108794945683       
Zeropoint     AB|PS|PS_g                4806.7817145456265    All      -0.7509300210292198       0.9234117109343742         1.2954375905618765        0.6031976162444858         
Zeropoint     AB|PS|PS_r                6104.286464689437     All      0.691819827863694         0.49528918803147803        -1.772380370380855        -0.14310969074084468       
Check         All|All|All               All                   All      1.0053714300418966        0.9827732683167056         0.11369228866298098       -0.0022874000580985765     
Lambda        AB|PS|PS_z                8497.06537727807      All      0.0009105330604933086     -0.0004362781113481402     0.00024762269703769684    -0.00042765044376133043    
Lambda        AB|PS|PS_i                7393.612954964143     All      0.0003483254180918277     -0.00028722550951960153    0.0002595815193986308     -0.00019543591513153643    
Lambda        AB|PS|PS_g                4806.7817145456265    All      -0.0009758009146955988    0.0011016671761175723      0.00024982642668031584    0.0006878483098594053      
Lambda        AB|PS|PS_r                6104.286464689437     All      -9.636787253350338e-05    0.0004164622037462317      -0.0008020162440791286    0.000131255326006806       
MWEBV         All|All|All               All                   All      -0.5736252148617487       -4.200807799739081         0.13908920420981907       -1.1752857862868364        
Redshift      All|All|All               All                   All      6.531204496086928         -3.5955063954129507        4.151376790333394         -3.1133460166854086        
