#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4831.200314701399    All      3.6906994884878883        0.5333194396335728         -0.5604627665588724       -1.0534734357892122       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4034.401942105112    All      -2.6972293583775855       0.46859212991030574        0.5697937196936509        1.0566394879107237        
Check         All|All|All                            All                  All      0.9934701301103028        1.0019115695438785         0.009330953134778497      0.0031660521215115534     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4831.200314701399    All      -0.0016074471420913757    -0.00024881831811199377    -0.00065512758742991      0.00041331477019592317    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4034.401942105112    All      -0.0002808515001972336    1.526881423835817e-05      -0.0011021406458024984    4.727265340737769e-05     
MWEBV         All|All|All                            All                  All      -0.08953738055290139      -2.0442536539377443        0.021867712753842472      -0.6357395429112594       
Redshift      All|All|All                            All                  All      3.363729476540305         0.7869376580782017         -0.4890091622824777       -0.8611681021807177       
