#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5264.867995267311     All      0.1471560242084947         0.1364795156378662        0.3319667485076115        0.01133646122961378        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8043.853396407447     All      0.09085688868020067        -0.017325940402379558     0.07143710742733109       -0.03205079653584231       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5294.93699933966      All      0.11166551420218451        0.1449218085550541        -0.0515126116594802       0.008533897900821106       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5297.5590011388185    All      0.15280698865369316        0.19213407362759227       -0.5007320560007659       -0.009535246481500271      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7721.596284521971     All      0.1404620728810472         -0.02640208167150604      0.09145832726997996       -0.05027177971223648       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6285.084932537059     All      0.5334754698155737         -0.06960884177162896      -0.32482948489780916      -0.21094004919159692       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7771.428877718686     All      0.1884770433160789         -0.03935404574937351      0.07799084403461158       -0.07073170795853767       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4323.355499927001     All      -0.2237158843039431        0.18578984875174953       0.27796874459994864       0.14579395800191713        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4312.624821859353     All      -0.27817600029068423       0.20427037555919014       0.1260377136618359        0.16277314091907033        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6228.511393893187     All      0.3485525779687868         -0.02376177815799352      0.19204013637876605       -0.11270516529084346       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4297.97145348816      All      -0.5752432985000887        0.34024641662337984       -0.3689955941518777       0.2817385403011926         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6436.336902915196     All      0.360280285958024          -0.03110084371780175      0.07794030437758034       -0.12400759217462452       
Check         All|All|All                                      All                   All      0.9965976825893679         0.9962885072841487        0.0007701795477320916     -6.63389925667085e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5264.867995267311     All      3.876635684666834e-05      3.2779366992774636e-05    9.022905722109851e-05     2.0763488551781075e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8043.853396407447     All      -1.2841466506678437e-05    2.4692892830478468e-06    -9.851902331191961e-06    4.547571716727357e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5294.93699933966      All      3.1842721863857424e-05     2.42512587573527e-05      6.0226035360454076e-05    2.148220644552051e-07      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5297.5590011388185    All      -4.286570900025033e-05     4.971509894986101e-06     -0.0010911300104556726    -3.3109964995827594e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7721.596284521971     All      -1.7679462323841707e-05    3.455842305954754e-06     -7.841264142429263e-06    6.534544443740604e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6285.084932537059     All      -0.00018222378953354352    5.92710030692482e-06      -0.0003298862813660119    4.6565625176978734e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7771.428877718686     All      -2.1282366675138265e-05    6.700563396522511e-06     3.0165284519495824e-05    1.0461099039358861e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4323.355499927001     All      -2.7603862261735964e-05    2.326323146285217e-05     3.788604713153901e-05     1.8259766182934523e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4312.624821859353     All      -4.184207118113367e-05     3.283639068754766e-05     4.0605133172752165e-05    2.613725247991804e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6228.511393893187     All      -0.00011245209534050501    8.023958138658138e-06     -6.517805604502532e-05    3.633441687328817e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4297.97145348816      All      -0.00027448633215339225    6.859064961957655e-05     -0.0009077691307534825    7.124189278818949e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6436.336902915196     All      -0.00010410772324079528    9.314204630149293e-06     -5.753982614652927e-05    3.4377515208101e-05        
MWEBV         All|All|All                                      All                   All      -0.8172906200477974        -3.9985576317426386       0.04893570145119163       -1.0340595506827452        
Redshift      All|All|All                                      All                   All      3.828086323770318          -0.022963052392199756     1.617661541422252         -1.18222467263442          
