#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5264.867995267311     All      0.14587474089293648        0.13560415594753294       0.403509399540497         0.014661303840926565       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8043.853396407447     All      0.09077847312637712        -0.01648232222564161      0.0896908632672333        -0.03093587852912305       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5294.93699933966      All      0.09547393331953354        0.13925027230339282       -0.10767250829728514      0.009454464282453168       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5297.5590011388185    All      0.12047862358484558        0.18683888987389707       -0.6818756649475677       -0.008813257266698793      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7721.596284521971     All      0.14833426775648603        -0.027037283173392268     0.11975794158488595       -0.0517800367859117        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6285.084932537059     All      0.5347772359632431         -0.0722170567602376       -0.41291080741486796      -0.21614432356329566       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7771.428877718686     All      0.18085910191895768        -0.03877313682547623      0.06990885727961027       -0.06842173462447143       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4323.355499927001     All      -0.21081916670356643       0.19211359529709426       0.3818062185950877        0.1482867146411035         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4312.624821859353     All      -0.260560775233746         0.199049406828955         0.1488748482608271        0.15635375774411542        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6228.511393893187     All      0.35654353338381184        -0.02179100927648392      0.24069606556227363       -0.11249484745220334       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4297.97145348816      All      -0.5721448614273041        0.35132420667460806       -0.33159745813780006      0.2860065851260696         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6436.336902915196     All      0.36654708875941455        -0.03137680722193892      0.07787466692972256       -0.12614171550878878       
Check         All|All|All                                      All                   All      0.9961421953409894         0.9965029114423096        -0.001937577777383348     3.1031904175471414e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5264.867995267311     All      4.865327282595613e-05      4.374757677669221e-05     0.00014146811537802458    4.7151256539170815e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8043.853396407447     All      -1.1151388419401803e-05    1.9469183037835914e-06    -1.195783500879839e-05    3.73292616514007e-06       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5294.93699933966      All      1.9836227319029432e-05     3.94878959936169e-05      7.166138214406119e-05     9.599113364274872e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5297.5590011388185    All      -2.9122041128365602e-05    8.972040787563056e-06     -0.0012854643779455193    -4.4955875525279316e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7721.596284521971     All      -1.3723023467225332e-05    2.9349194286275915e-06    -6.423564973903857e-06    5.13938582880394e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6285.084932537059     All      -0.00017917343003352919    3.5129655333178257e-06    -0.0004008546665415229    4.161866653115908e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7771.428877718686     All      -1.527137770757028e-05     4.348586583608595e-06     1.5654454138168084e-05    7.089454237168699e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4323.355499927001     All      -3.9664674838250234e-05    3.943558165931648e-05     8.669436214345115e-05     2.9634327072058478e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4312.624821859353     All      -6.471568932939659e-05     4.903102593862326e-05     5.50976149006635e-05      3.950980081739764e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6228.511393893187     All      -0.0001085808342942723     7.262771352717172e-06     -8.358168498658073e-05    3.400420677649118e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4297.97145348816      All      -0.0003079694002656868     9.714411005502017e-05     -0.0009110731046726974    9.130178989594378e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6436.336902915196     All      -0.00010094304929858431    9.080627870327134e-06     -7.766308450670302e-05    3.237258455748962e-05      
MWEBV         All|All|All                                      All                   All      -0.8088878543179927        -4.000602323323754        0.06688571732059168       -1.036661604473238         
Redshift      All|All|All                                      All                   All      3.678195378716356          -0.4124172739257581       1.6109166824988308        -1.2605593052572555        
