#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3119.2536340627908    All      -0.3960560365947454        0.09797707985388371        0.802516254509511         0.1967354538490007        
Zeropoint     AB|PS|PS_z                5513.98079441374      All      1.0671613437109237         0.1880745816775331         0.22892307387170074       -0.2761316941084585       
Zeropoint     AB|PS|PS_i                4797.919990590976     All      0.9914207645625703         0.3174314660347122         -0.4570909948813151       -0.2399383598783708       
Zeropoint     AB|PS|PS_r                3961.2403618670896    All      -0.674506430836417         0.3949488985218963         -0.5579951005523887       0.3234560262484157        
Check         All|All|All               All                   All      0.9880196408423316         0.9984320260880253         0.016353232947508012      0.004121426110587079      
Lambda        AB|PS|PS_g                3119.2536340627908    All      -0.0008727507287077213     0.00018284903175358792     0.0014403457815619926     0.00040811958714504957    
Lambda        AB|PS|PS_z                5513.98079441374      All      -0.00025112018505976555    -1.1081176414002631e-05    0.0005093873326617178     0.00010092021929003852    
Lambda        AB|PS|PS_i                4797.919990590976     All      -0.00033089051111301386    -0.0001474859189718197     -0.0008616422476165713    2.128977336082212e-05     
Lambda        AB|PS|PS_r                3961.2403618670896    All      -0.0004653256788176147     6.753077989876079e-05      -0.0017551792943302081    9.524328840167328e-05     
MWEBV         All|All|All               All                   All      -0.42449076681118636       -2.1620024320322173        0.3070912259901082        -0.5522606408014288       
Redshift      All|All|All               All                   All      2.131702738672889          -0.1200340028260527        -7.014253298341044        -1.0464786460494022       
