#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3119.2536340627908    All      -0.32311684227486215       0.06320434820548115       0.29279063171778047       0.1389034224839346        
Zeropoint     AB|PS|PS_z                5513.98079441374      All      1.2037250648461688         0.17854469236890935       0.26097094174063634       -0.3222890402145903       
Zeropoint     AB|PS|PS_i                4797.919990590976     All      1.0530218256249255         0.40060069124780995       0.4916281150680473        -0.19057592267517695      
Zeropoint     AB|PS|PS_r                3961.2403618670896    All      -0.9481249732702395        0.35617926961482027       -1.04011482232872         0.37843925479675083       
Check         All|All|All               All                   All      0.9855050749259928         0.9985290014370207        0.005274866197744199      0.004477714390918208      
Lambda        AB|PS|PS_g                3119.2536340627908    All      -0.0008802596019262545     0.00016817656918835782    0.0007230881789541538     0.00037377825786036854    
Lambda        AB|PS|PS_z                5513.98079441374      All      -0.00017874395878653186    -1.572314927173829e-05    3.656885834084799e-05     5.473314107735822e-05     
Lambda        AB|PS|PS_i                4797.919990590976     All      -0.0002287971791069356     -9.795585880644713e-05    -0.0007389190377407835    9.64475965146617e-06      
Lambda        AB|PS|PS_r                3961.2403618670896    All      -0.0007997071170897472     0.00020479631247913147    -0.0015235587178050302    0.0002592103860682702     
MWEBV         All|All|All               All                   All      -0.35445248899141224       -2.162845954139847        0.2495552189818276        -0.5779167427191937       
Redshift      All|All|All               All                   All      2.2125630744720706         -0.2323807935884048       -1.847545476813963        -0.8788461232521135       
