#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6006.120907830397     All      1.2980111126923808         0.023012007122069633       -0.6225682071262645       -0.4430915146405894       
Zeropoint     AB|SDSS|SDSS_z            7140.777097263807     All      0.1198786200208572         -3.5942280263157045e-05    0.07546393299422138       -0.03569250927717004      
Zeropoint     AB|SDSS|SDSS_g            3790.2990961591104    All      -1.0970496657269202        0.42726177391703146        -0.7818842827681305       0.4616264797735237        
Zeropoint     AB|SDSS|SDSS_r            4952.787833962305     All      0.6761926614465152         0.5487925515573977         1.3312884962756344        0.017910884071871132      
Check         All|All|All               All                   All      0.997032728432833          0.9990303903162356         0.002299939375460802      0.000753339927635429      
Lambda        AB|SDSS|SDSS_i            6006.120907830397     All      -0.00021867609977162489    -1.383033094042225e-05     -7.979148172485396e-05    6.31642787735823e-05      
Lambda        AB|SDSS|SDSS_z            7140.777097263807     All      -3.9114026346292056e-05    -2.212756517696128e-06     -5.267011099723007e-05    9.669532450154857e-06     
Lambda        AB|SDSS|SDSS_g            3790.2990961591104    All      -0.0016820342275334268     0.000602759046840995       -0.0013443001344232294    0.0006842423960776677     
Lambda        AB|SDSS|SDSS_r            4952.787833962305     All      -8.449333540017575e-05     -7.967440099696635e-05     -0.0011737735995378243    -5.081043932686402e-05    
MWEBV         All|All|All               All                   All      -0.545324675677548         -3.0493424107572054        0.05155477625109206       -0.8133403031704423       
Redshift      All|All|All               All                   All      4.459005448308266          0.18184650141392922        3.6993748730871743        -1.2281252733815617       
