#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6006.120907830397     All      1.2868892352888137        0.021596406848800598      -0.671986613492496         -0.4421351773578127       
Zeropoint     AB|SDSS|SDSS_z            7140.777097263807     All      0.10464752451898517       0.0016328246427832482     0.07372053583212794        -0.03026546790462554      
Zeropoint     AB|SDSS|SDSS_g            3790.2990961591104    All      -1.057651380902013        0.4383292701866992        -0.5877261477701982        0.4610625957147216        
Zeropoint     AB|SDSS|SDSS_r            4952.787833962305     All      0.6625346979469949        0.5372778826178148        1.188015895687229          0.012215427485332383      
Check         All|All|All               All                   All      0.9964200768527804        0.9988363842960979        0.002023670256662724       0.0008773779376157163     
Lambda        AB|SDSS|SDSS_i            6006.120907830397     All      -0.0002354199282665378    -1.820843594371547e-05    -0.00014431408751960765    6.431285418001176e-05     
Lambda        AB|SDSS|SDSS_z            7140.777097263807     All      -4.181302200138357e-05    -8.553332236717636e-07    -3.7272405736307485e-05    1.1677970420794035e-05    
Lambda        AB|SDSS|SDSS_g            3790.2990961591104    All      -0.0017144657880348506    0.0005667305802916793     -0.001783118856266125      0.0006634883013088179     
Lambda        AB|SDSS|SDSS_r            4952.787833962305     All      -0.0001058041085251681    -8.414363219324255e-05    -0.0011787459498108996     -4.554648820591782e-05    
MWEBV         All|All|All               All                   All      -0.5413258974853301       -3.0479055759585094       0.07748213931186959        -0.8130177932858154       
Redshift      All|All|All               All                   All      4.8138727453053125        0.3510568798246183        5.585935799333899          -1.2044112902188764       
