#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7223.394794825593    All      0.7363890039819424         -0.1255567501349475        0.4041594597547826        -0.2627283088372914        
Zeropoint     AB|PS|PS_r                5963.751598000146    All      1.086784982536855          0.09076153913305518        -0.23427639429727254      -0.3348922831995199        
Zeropoint     AB|PS|PS_g                4696.118423861979    All      -1.0994373195414433        1.0995633541972083         -0.21651406533480522      0.7066248360872259         
Zeropoint     AB|PS|PS_z                8301.44317688602     All      0.2763513928154389         -0.06620545905846598       0.05336784094986946       -0.10920047480904652       
Check         All|All|All               All                  All      1.0000880597927928         0.99856268413685           0.006736841072574329      -0.00019623075863198225    
Lambda        AB|PS|PS_i                7223.394794825593    All      -0.0003547893548068394     -6.744534682355707e-05     -0.0015296648548774935    2.533547976060773e-05      
Lambda        AB|PS|PS_r                5963.751598000146    All      -0.00031612046454231757    -5.746240021404766e-05     -0.0010518504111031533    3.731418827594068e-05      
Lambda        AB|PS|PS_g                4696.118423861979    All      -0.00013189147166069883    -2.7891425298331516e-05    -0.0004414204236378416    1.4177670463838116e-05     
Lambda        AB|PS|PS_z                8301.44317688602     All      0.0002616150866307816      -8.009408478146282e-05     -2.656475292392102e-05    -0.00011249138194228717    
MWEBV         All|All|All               All                  All      -0.677479629647213         -3.96144307797055          -0.005596952283815071     -1.0699447005818306        
Redshift      All|All|All               All                  All      7.025672859595775          0.8367173987537058         10.693704289237393        -1.5387354961617417        
