#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7223.394794825593    All      0.6790857178765841         -0.15484254546969112      0.10316714516647733        -0.2670339949376117        
Zeropoint     AB|PS|PS_r                5963.751598000146    All      1.0903947880503404         0.13087759803021015       0.030421707496313104       -0.3111887348837574        
Zeropoint     AB|PS|PS_g                4696.118423861979    All      -1.0938145953274907        1.1194701442590826        -0.10660078242356454       0.7161825512685814         
Zeropoint     AB|PS|PS_z                8301.44317688602     All      0.32361587899544175        -0.09709866879523688      -0.025842825741980206      -0.1381938159339837        
Check         All|All|All               All                  All      0.9992817895948757         0.9984065280243648        0.0011452444972456996      -0.00023399448677138834    
Lambda        AB|PS|PS_i                7223.394794825593    All      -0.00030513037324720655    -6.676343034178996e-05    -0.0013417968872472565     1.7765722916137583e-05     
Lambda        AB|PS|PS_r                5963.751598000146    All      -0.00019461716466747422    -6.312261654724057e-05    -0.0008659049830310858     4.190737929959245e-06      
Lambda        AB|PS|PS_g                4696.118423861979    All      -0.00018445356585371342    6.356329710733108e-05     -0.0003029863544270251     6.726636234675638e-05      
Lambda        AB|PS|PS_z                8301.44317688602     All      0.0002431640819816852      -7.886309203175226e-05    -2.5804524376759105e-05    -0.00010604638236255814    
MWEBV         All|All|All               All                  All      -0.6776903539245698        -3.9689793702859077       -0.03097199473472822       -1.0734632506970672        
Redshift      All|All|All               All                  All      6.41252284566818           0.48083755622059243       8.948589461438386          -1.5328105971434949        
