#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8234.471294067993     All      0.21367003181403657        -0.004374897728531835     0.155333618637408         -0.06409258103884154      
Zeropoint     AB|SDSS|SDSS_u            3323.9559703674654    All      -0.1792329955990828        0.14833676693051245       0.20766925481766008       0.11596757343309924       
Zeropoint     AB|SDSS|SDSS_r            5711.365680354199     All      0.7369107310680982         0.23417469294084725       -0.707712227233303        -0.1953396134391575       
Zeropoint     AB|SDSS|SDSS_i            6926.029132485027     All      0.7749303934577418         0.039257500042921833      0.6313629553949847        -0.21145803535039323      
Zeropoint     AB|SDSS|SDSS_g            4370.828087493934     All      -0.5521445484837108        0.5830573661533833        -0.2798144129189676       0.35728577852351645       
Check         All|All|All               All                   All      0.9941336122570834         1.000451428339133         0.006839188697782217      0.0023631221282233716     
Lambda        AB|SDSS|SDSS_z            8234.471294067993     All      -3.7048829265700964e-06    2.6549317911611916e-06    2.4674681336749164e-05    3.172718586601278e-06     
Lambda        AB|SDSS|SDSS_u            3323.9559703674654    All      -0.0001107581090252169     9.705684786516569e-05     0.00015791003150676113    7.473896781980745e-05     
Lambda        AB|SDSS|SDSS_r            5711.365680354199     All      -0.0001924046436557954     -9.078161123679968e-05    -0.0003824563323437742    1.6034695403224316e-05    
Lambda        AB|SDSS|SDSS_i            6926.029132485027     All      -0.0005300357309129594     -7.385528440234907e-05    -0.0008767283880443455    0.00010946861802883877    
Lambda        AB|SDSS|SDSS_g            4370.828087493934     All      -0.00037875194165719567    0.00014709467083876573    -0.0010802591326301493    0.00012307853789108502    
MWEBV         All|All|All               All                   All      -0.8654144793557763        -3.5770547785091367       0.2970687785587397        -0.8700136405507535       
Redshift      All|All|All               All                   All      6.555298475646174          0.9892229757218374        4.968460929598834         -1.5913343167978167       
