#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6199.4914765155745    All      1.315318627856896         -0.19978219164258348       0.17463805804638355       -0.48572488780036643      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7552.982112890832     All      0.45970203058025744       -0.14266685445196714       0.052876451477534836      -0.19385173002599426      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4350.336512194233     All      -1.122609413922125        0.6996213775753546         -0.10681032121480083      0.5887940643293329        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5380.0353664487975    All      0.3283202500112665        0.6357114460182167         -0.12475704798424747      0.09456009134628934       
Check         All|All|All                                All                   All      0.9807314945262949        0.9928837774990207         -0.004052859675129916     0.0037775378492615475     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6199.4914765155745    All      -0.0002623301656761245    6.217544581667417e-05      2.8455736961761305e-05    0.00010697200242884688    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7552.982112890832     All      -9.558069418598509e-05    -3.4638034341368896e-06    -8.942243705481223e-05    2.6014989210208116e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4350.336512194233     All      -0.0009187330178617418    0.00056646846857525        -0.00058028681453279      0.00045788345043843635    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5380.0353664487975    All      0.00011852065769765901    0.00010378072663372896     -0.0011103308242763799    -5.435024559928147e-05    
MWEBV         All|All|All                                All                   All      -0.8694562466611884       -4.067068654516426         0.017927942910467287      -1.040767517809936        
Redshift      All|All|All                                All                   All      7.938500433790688         -2.8382434236174703        4.193705538239301         -3.3231942015209692       
