#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6199.4914765155745    All      1.3115251562680377         -0.1990793222432785       0.14327871928011018        -0.4856597048762023       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7552.982112890832     All      0.4791567626379151         -0.170066113225964        0.14109353480463616        -0.20517689302789707      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4350.336512194233     All      -1.0773893452916443        0.7553187800660055        -0.017439460003789597      0.5961950877319644        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5380.0353664487975    All      0.2837865245094278         0.6122362046106389        -0.2667260423864385        0.09508410823917555       
Check         All|All|All                                All                   All      0.9970790981237363         0.9984095492074019        0.00020675169451822573     0.0004425980670405977     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6199.4914765155745    All      -0.0002926375168128497     6.400380685849944e-05     -0.000603504063570184      8.923819770756807e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7552.982112890832     All      -0.00011047018821351411    2.183624832384107e-05     -0.00019831753504350385    3.424655838319061e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4350.336512194233     All      -0.0008708533323604753     0.0005738641425141904     -0.000510289637837363      0.00044782012849867983    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5380.0353664487975    All      3.5557548207564113e-05     0.00037479675846199573    -0.0013161054940262582     5.176962787388737e-05     
MWEBV         All|All|All                                All                   All      -0.8663901195198949        -4.069289569975876        0.018694959189205516       -1.0424554531097914       
Redshift      All|All|All                                All                   All      7.564936650316115          -2.882796309931024        5.40523889937216           -3.1619593586427213       
