#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      3.0321282652503285        -0.8724613293308536       0.2656819743056482        -1.2599971218571038      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -2.0354675990326108       1.8758668613283902        -0.274987235420876        1.2617788954750297       
Check         All|All|All                            All                   All      0.9966606662177177        1.0034055319975366        -0.009305261115227781     0.0017817736179259747    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      -0.0007313810074034852    0.00012750172328917448    -0.0016313216138784561    0.0002069679705509157    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -0.0006074980037982073    8.009190538213254e-05     -0.003385634875963863     7.288531960042039e-05    
MWEBV         All|All|All                            All                   All      -0.5139781083920152       -2.9459982438568844       -0.02960883501074152      -0.7935102755248669      
Redshift      All|All|All                            All                   All      8.958123709124708         -1.0533682182607862       12.393130463271751        -2.7080237960642557      
