#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      3.1346327835471155        -0.8539193892501018        1.2329859793427935        -1.2441801607906366        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -2.1370210040130777       1.8574479212144723         -1.2296546816317744       1.246256102229315          
Check         All|All|All                            All                   All      0.9976117795340376        1.0035285319643705         0.0033312977110191433     0.002075941438678397       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      -0.0008117454635997062    0.00021235988285222437     -0.0002819735335147455    0.0003210016196613715      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -0.0006223241842129891    -2.8448036465688724e-05    -0.004600768124224154     -1.1866151554204807e-05    
MWEBV         All|All|All                            All                   All      -0.5135203823695789       -2.9460714788124065        -0.02460762601693341      -0.7934600459958135        
Redshift      All|All|All                            All                   All      9.59958881771826          -0.7789225197090133        17.307426018043742        -2.6082716524284306        
