#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5264.556681818156     All      -0.07650395387734898       0.7236931914786027        0.35155618565179125        0.2763388738730447        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7390.862650837719     All      0.7485025042296534         -0.3724807434304367       0.2691502125952372         -0.3531301851904048       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4256.9595910569205    All      -0.8687962695778131        0.5667158651633919        -0.3212625262577262        0.4532570581901943        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6066.423741394077     All      1.1919081644888738         0.08203713874621599       -0.3018573387501444        -0.3749920134043738       
Check         All|All|All                                All                   All      0.9951104452633652         0.9999654519577739        -0.002413466760842198      0.0014737334684603587     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5264.556681818156     All      -0.00013442658765120286    0.0003541105335357867     -0.0007090014494267889     0.00012749313440244936    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7390.862650837719     All      -0.00017596594468735968    3.403722182153484e-05     -0.00047158908912657544    4.73600851135354e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4256.9595910569205    All      -0.0006535345506700677     0.0003472507559271418     -0.0005497021511468526     0.0003014580169023097     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6066.423741394077     All      -0.00020642121751080533    -6.982252283506777e-06    -0.0003677543559862307     4.855264444859444e-05     
MWEBV         All|All|All                                All                   All      -0.7897362030429123        -3.9875312143774266       0.03178420574339036        -1.0402086563998925       
Redshift      All|All|All                                All                   All      10.106259909023386         -2.6553418188544953       9.029215425514181          -3.753941112241837        
