#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4157.878732141574    All      -1.5970816040200062       0.4460317233618838        -0.6532336949817141       0.6363584075470343        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7554.347780969803    All      0.6023516353867453        -0.2465517687591401       -0.33001029207466726      -0.29124261047560746      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5201.725043891453    All      2.0054681486511936        0.7918480585033194        0.9751459104436755        -0.351799706976251        
Check         All|All|All                                All                  All      1.0107381800179325        0.9913280131060631        -0.008098076612705896     -0.006683909904824148     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4157.878732141574    All      -0.0013514955502558783    0.00034745647468609116    -0.001203410801906604     0.0004997018713618126     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7554.347780969803    All      -4.392461214319531e-05    -7.006213012387787e-06    -4.776672628351443e-05    9.893927566764184e-06     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5201.725043891453    All      0.0009512534522172528     -1.603899231300717e-05    -0.0014061674789546323    -0.0003778297684518061    
MWEBV         All|All|All                                All                  All      -0.7337935964475353       -3.885526657490601        -0.05075457358947322      -1.0288880904315387       
Redshift      All|All|All                                All                  All      5.42388587701472          -0.7093731758204491       7.688407701286937         -1.6547059276087488       
