#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4157.878732141574    All      -1.4958605361142494       0.5022505564681978         -0.8674137532786902       0.6121418268349403        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7554.347780969803    All      0.6908260740866008        -0.26392743438536925       -0.40876398505291667      -0.32923588743459925      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5201.725043891453    All      1.8137367525700163        0.7549885483319585         1.277792294600695         -0.2878471204813559       
Check         All|All|All                                All                  All      1.0087022905423677        0.9933116704147871         0.0016145562690881299     -0.004941181081014823     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4157.878732141574    All      -0.0011597395540489197    0.0004106158633165966      -0.001379430133171303     0.000449958791244641      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7554.347780969803    All      -6.77064671938688e-05     -2.5030193917030527e-05    -8.053952281188643e-05    1.0306957215508088e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5201.725043891453    All      0.00045735226245688344    0.0003445752126200465      -0.0026558282582573264    -0.0001552526127746224    
MWEBV         All|All|All                                All                  All      -0.7178206267153802       -3.88456885984656          -0.06762450689507143      -1.034531853607754        
Redshift      All|All|All                                All                  All      6.086401307586739         -2.1261182830446756        10.861767256446491        -2.190377028175324        
